GRAND_ID: 7257
DAM_NAME: 104.773514
LONG: 104.773514
LAT: 31.918036
Depth(m);Area(km2);Volume(mcm)
0.0;0.0;0.0
1.0;0.03;0.2
2.0;0.11;0.48
3.0;0.15;0.8
4.0;0.23;1.2
5.0;0.28;1.65
6.0;0.34;2.16
7.0;0.38;2.71
8.0;0.57;3.45
9.0;0.66;4.28
10.0;0.76;5.21
11.0;0.82;6.2
12.0;1.16;7.53
13.0;1.16;8.87
14.0;1.5;10.53
15.0;1.71;12.41
16.0;1.93;14.51
17.0;2.06;16.75
18.0;2.28;19.2
19.0;2.39;21.75
20.0;2.52;24.44
21.0;2.61;27.22
22.0;2.75;30.14
23.0;2.84;33.15
24.0;2.92;36.24
25.0;2.99;39.4
26.0;3.14;42.72
27.0;3.24;46.12
28.0;3.34;49.64
29.0;3.4;53.21
30.0;3.59;56.97
31.0;3.6;60.74
32.0;3.76;64.67
33.0;3.81;68.65
34.0;3.92;72.74
35.0;4.0;76.91
36.0;4.13;81.21
37.0;4.21;85.6
38.0;4.31;90.07
39.0;4.44;94.68
40.0;4.59;99.45
41.0;4.69;104.31
42.0;4.82;109.29
43.0;4.95;114.41
44.0;5.11;119.69
45.0;5.19;125.05
46.0;5.37;130.6
47.0;5.46;136.23
48.0;5.63;142.03
49.0;5.77;147.97
50.0;6.05;154.2
51.0;6.19;160.56
52.0;6.42;167.15
53.0;6.57;173.89
54.0;6.92;180.98
55.0;7.12;188.27
56.0;7.41;195.85
57.0;7.59;203.61
58.0;8.08;211.86
59.0;8.51;220.54
60.0;8.99;229.69
61.0;9.39;239.25
62.0;9.97;249.4
63.0;10.27;259.83
64.0;10.78;270.79
65.0;11.07;282.03
66.0;11.41;293.61
67.0;11.83;305.62
68.0;12.35;318.14
69.0;12.62;330.93
70.0;12.98;344.08
71.0;13.2;357.45
72.0;13.64;371.26
73.0;13.88;385.31
74.0;14.21;399.69
75.0;14.5;414.36
76.0;14.87;429.4
77.0;15.03;444.61
78.0;15.32;460.1
79.0;15.51;475.78
80.0;15.82;491.77
81.0;15.92;507.86
82.0;16.18;524.21
83.0;16.27;540.65
84.0;16.47;557.29
85.0;16.61;574.07
86.0;16.78;591.03
87.0;16.97;608.17
