GRAND_ID: 7238
DAM_NAME: 108.946498
LONG: 108.946498
LAT: 23.626926
Depth(m);Area(km2);Volume(mcm)
0.0;0.0;0.0
1.0;0.05;0.2
2.0;0.17;0.52
3.0;0.25;0.92
4.0;0.37;1.45
5.0;0.53;2.13
6.0;0.75;3.03
7.0;0.95;4.14
8.0;1.49;5.78
9.0;1.87;7.81
10.0;2.72;10.67
11.0;3.54;14.37
12.0;4.82;19.34
13.0;5.77;25.26
14.0;7.03;32.45
15.0;8.33;40.94
16.0;9.47;50.56
17.0;10.54;61.25
18.0;11.64;73.04
19.0;12.66;85.85
20.0;13.61;99.61
21.0;14.56;114.32
22.0;15.4;129.87
23.0;16.11;146.13
24.0;16.81;163.09
25.0;17.31;180.55
