GRAND_ID: 7306
DAM_NAME: -87.623433
LONG: -87.623433
LAT: 34.79871
Depth(m);Area(km2);Volume(mcm)
0.0;0.0;0.0
1.0;0.04;0.18
2.0;0.09;0.41
3.0;0.15;0.7
4.0;0.19;1.03
5.0;0.25;1.42
6.0;0.31;1.87
7.0;0.36;2.38
8.0;0.46;2.98
9.0;0.53;3.65
10.0;0.59;4.39
11.0;0.67;5.2
12.0;0.77;6.11
13.0;0.92;7.17
14.0;1.03;8.35
15.0;1.17;9.66
16.0;1.26;11.06
17.0;1.42;12.62
18.0;1.49;14.25
19.0;1.62;16.02
20.0;1.71;17.87
21.0;1.83;19.84
22.0;1.94;21.92
23.0;2.1;24.16
24.0;2.19;26.49
25.0;2.48;29.12
26.0;2.74;32.0
27.0;3.2;35.35
28.0;3.54;39.03
29.0;4.07;43.24
30.0;4.4;47.78
31.0;4.82;52.74
32.0;5.12;58.0
33.0;5.52;63.66
34.0;5.87;69.68
35.0;6.76;76.58
36.0;7.54;84.26
37.0;9.46;93.86
38.0;12.92;106.92
39.0;18.45;125.51
40.0;22.62;148.27
41.0;29.85;178.26
42.0;34.95;213.35
43.0;42.97;256.46
44.0;47.43;304.03
45.0;53.07;357.25
46.0;57.06;414.45
47.0;61.64;476.23
48.0;64.84;541.22
49.0;68.39;609.75
50.0;70.58;680.47
51.0;72.81;753.43
52.0;74.17;827.74
53.0;75.65;903.53
54.0;76.55;980.23
55.0;77.44;1057.81
