GRAND_ID: 7247
DAM_NAME: 101.873658
LONG: 101.873658
LAT: 23.093604
Depth(m);Area(km2);Volume(mcm)
0.0;0.0;0.0
1.0;0.0;0.11
2.0;0.03;0.26
3.0;0.04;0.41
4.0;0.08;0.61
5.0;0.1;0.82
6.0;0.13;1.07
7.0;0.18;1.36
8.0;0.28;1.75
9.0;0.33;2.19
10.0;0.41;2.72
11.0;0.42;3.26
12.0;0.53;3.9
13.0;0.55;4.56
14.0;0.64;5.31
15.0;0.67;6.1
16.0;0.8;7.01
17.0;0.86;7.98
18.0;1.02;9.12
19.0;1.03;10.26
20.0;1.18;11.55
21.0;1.26;12.92
22.0;1.43;14.47
23.0;1.49;16.08
24.0;1.64;17.83
25.0;1.72;19.67
26.0;1.89;21.68
27.0;1.96;23.75
28.0;2.13;25.99
29.0;2.2;28.31
30.0;2.41;30.83
31.0;2.5;33.45
32.0;2.69;36.25
33.0;2.7;39.06
34.0;2.89;42.06
35.0;2.98;45.15
36.0;3.21;48.47
37.0;3.29;51.88
38.0;3.54;55.53
39.0;3.66;59.3
40.0;3.89;63.3
41.0;3.97;67.38
42.0;4.2;71.69
43.0;4.32;76.12
44.0;4.53;80.77
45.0;4.63;85.51
46.0;4.91;90.54
47.0;5.01;95.66
48.0;5.22;101.0
49.0;5.34;106.45
50.0;5.63;112.19
51.0;5.72;118.03
52.0;5.97;124.11
53.0;6.2;130.42
54.0;6.47;137.0
55.0;6.65;143.77
56.0;6.92;150.8
57.0;7.06;157.97
58.0;7.4;165.48
59.0;7.49;173.08
60.0;7.8;181.0
61.0;7.95;189.06
62.0;8.19;197.37
63.0;8.31;205.79
64.0;8.62;214.53
65.0;8.7;223.34
66.0;8.86;232.31
67.0;9.02;241.44
68.0;9.18;250.73
69.0;9.3;260.14
70.0;9.45;269.71
71.0;9.55;279.37
72.0;9.75;289.24
73.0;9.81;299.16
