GRAND_ID: 7298
DAM_NAME: 127.375604
LONG: 127.375604
LAT: 42.346441
Depth(m);Area(km2);Volume(mcm)
0.0;0.0;0.0
1.0;0.04;0.19
2.0;0.13;0.47
3.0;0.16;0.79
4.0;0.27;1.22
5.0;0.31;1.68
6.0;0.37;2.2
7.0;0.4;2.75
8.0;0.47;3.38
9.0;0.51;4.04
10.0;0.57;4.77
11.0;0.6;5.52
12.0;0.66;6.33
13.0;0.68;7.17
14.0;0.75;8.08
15.0;0.81;9.04
16.0;0.93;10.13
17.0;0.97;11.25
18.0;1.05;12.46
19.0;1.09;13.7
20.0;1.15;15.0
21.0;1.17;16.32
22.0;1.24;17.71
23.0;1.26;19.13
24.0;1.34;20.62
25.0;1.38;22.16
26.0;1.45;23.76
27.0;1.47;25.39
28.0;1.53;27.07
29.0;1.56;28.79
30.0;1.61;30.55
31.0;1.65;32.36
32.0;1.7;34.21
33.0;1.74;36.11
34.0;1.8;38.06
35.0;1.82;40.04
36.0;1.88;42.08
37.0;1.91;44.14
38.0;2.0;46.3
39.0;2.06;48.51
40.0;2.2;50.87
41.0;2.29;53.32
42.0;2.44;55.91
43.0;2.5;58.57
44.0;2.68;61.4
45.0;2.77;64.33
46.0;2.97;67.46
47.0;3.07;70.68
48.0;3.34;74.17
49.0;3.49;77.82
50.0;3.82;81.8
51.0;3.94;85.89
52.0;4.27;90.31
53.0;4.37;94.84
54.0;4.65;99.64
55.0;4.76;104.56
56.0;5.05;109.77
57.0;5.18;115.1
58.0;5.44;120.69
59.0;5.58;126.43
60.0;5.86;132.44
61.0;6.01;138.61
62.0;6.31;145.08
63.0;6.41;151.64
64.0;6.73;158.52
65.0;6.84;165.51
66.0;7.18;172.85
67.0;7.32;180.32
68.0;7.66;188.14
69.0;7.85;196.14
70.0;8.17;204.47
71.0;8.3;212.92
72.0;8.61;221.68
73.0;8.73;230.57
74.0;9.0;239.72
75.0;9.12;248.99
76.0;9.36;258.51
77.0;9.45;268.11
78.0;9.66;277.93
79.0;9.74;287.82
80.0;9.95;297.93
81.0;10.02;308.11
82.0;10.23;318.49
83.0;10.29;328.93
84.0;10.46;339.55
85.0;10.53;350.24
86.0;10.68;361.07
87.0;10.74;371.96
