GRAND_ID: 7313
DAM_NAME: -111.727374
LONG: -111.727374
LAT: 46.648333
Depth(m);Area(km2);Volume(mcm)
0.0;0.0;0.0
1.0;0.02;0.14
2.0;0.05;0.31
3.0;0.07;0.5
4.0;0.09;0.72
5.0;0.12;0.96
6.0;0.16;1.24
7.0;0.21;1.57
8.0;0.26;1.95
9.0;0.3;2.37
10.0;0.39;2.88
11.0;0.44;3.44
12.0;0.63;4.19
13.0;0.69;5.0
14.0;0.85;5.96
15.0;0.91;6.99
16.0;1.05;8.16
17.0;1.14;9.43
18.0;1.33;10.87
19.0;1.4;12.4
20.0;1.54;14.05
21.0;1.62;15.8
22.0;1.78;17.7
23.0;1.84;19.66
24.0;1.99;21.77
25.0;2.05;23.94
26.0;2.2;26.26
27.0;2.26;28.64
28.0;2.36;31.12
29.0;2.45;33.69
30.0;2.58;36.39
31.0;2.7;39.21
32.0;2.78;42.11
33.0;2.83;45.05
34.0;2.97;48.14
35.0;3.05;51.31
36.0;3.23;54.66
37.0;3.31;58.09
38.0;3.46;61.67
39.0;3.51;65.3
40.0;3.71;69.13
41.0;3.8;73.05
42.0;4.01;77.18
43.0;4.1;81.41
44.0;4.28;85.81
45.0;4.37;90.31
46.0;4.57;95.0
47.0;4.64;99.76
48.0;4.96;104.85
49.0;5.44;110.41
50.0;6.88;117.4
51.0;7.69;125.22
52.0;9.96;135.29
53.0;11.2;146.62
54.0;13.84;160.57
55.0;15.66;176.36
56.0;18.42;194.9
57.0;20.03;215.04
58.0;23.24;238.4
59.0;24.77;263.29
60.0;28.97;292.38
61.0;30.49;322.99
62.0;33.49;356.6
63.0;35.32;392.04
64.0;38.72;430.88
65.0;41.57;472.57
66.0;48.62;521.31
67.0;52.4;573.83
68.0;61.66;635.62
69.0;67.2;702.94
70.0;77.26;780.32
71.0;82.16;862.61
72.0;92.38;955.11
73.0;97.45;1052.68
74.0;108.34;1161.14
75.0;112.1;1273.36
76.0;118.46;1391.93
77.0;122.02;1514.08
78.0;127.11;1641.31
79.0;130.07;1771.5
80.0;134.18;1905.8
81.0;135.94;2041.87
82.0;139.95;2181.94
83.0;142.24;2324.29
84.0;145.72;2470.13
85.0;147.07;2617.32
86.0;148.95;2766.39
87.0;149.7;2916.21
88.0;150.97;3067.3
89.0;151.61;3219.04
