GRAND_ID: 7275
DAM_NAME: 106.137096
LONG: 106.137096
LAT: 26.583618
Depth(m);Area(km2);Volume(mcm)
0.0;0.0;0.0
1.0;0.02;0.13
2.0;0.05;0.3
3.0;0.08;0.48
4.0;0.11;0.7
5.0;0.12;0.94
6.0;0.15;1.2
7.0;0.18;1.48
8.0;0.21;1.8
9.0;0.22;2.13
10.0;0.25;2.49
11.0;0.26;2.86
12.0;0.29;3.26
13.0;0.31;3.68
14.0;0.34;4.12
15.0;0.35;4.58
16.0;0.37;5.06
17.0;0.38;5.54
18.0;0.4;6.05
19.0;0.42;6.58
20.0;0.46;7.15
21.0;0.48;7.74
22.0;0.5;8.35
23.0;0.52;8.98
24.0;0.53;9.62
25.0;0.56;10.29
26.0;0.59;10.99
27.0;0.61;11.71
28.0;0.63;12.45
29.0;0.65;13.21
30.0;0.67;13.99
31.0;0.69;14.8
32.0;0.75;15.66
33.0;0.77;16.54
34.0;0.81;17.46
35.0;0.82;18.4
36.0;0.89;19.39
37.0;0.96;20.46
38.0;1.04;21.61
39.0;1.1;22.82
40.0;1.13;24.06
41.0;1.24;25.42
42.0;1.32;26.85
43.0;1.37;28.33
44.0;1.45;29.89
45.0;1.52;31.53
46.0;1.59;33.23
47.0;1.64;34.98
48.0;1.77;36.86
49.0;1.84;38.81
50.0;2.01;40.93
51.0;2.11;43.15
52.0;2.26;45.52
53.0;2.33;47.95
54.0;2.48;50.54
55.0;2.55;53.2
56.0;2.68;55.99
57.0;2.77;58.87
58.0;2.89;61.87
59.0;3.04;65.02
60.0;3.19;68.33
61.0;3.33;71.77
62.0;3.53;75.4
63.0;3.65;79.17
64.0;3.83;83.11
65.0;3.99;87.21
66.0;4.29;91.61
67.0;4.44;96.16
68.0;4.8;101.06
69.0;5.07;106.24
70.0;5.57;111.93
71.0;5.92;117.96
72.0;6.57;124.64
73.0;6.82;131.57
74.0;7.53;139.21
75.0;7.97;147.29
76.0;8.6;156.01
77.0;9.07;165.19
78.0;9.7;175.0
79.0;10.4;185.51
80.0;10.92;196.54
81.0;11.39;208.04
82.0;12.03;220.18
83.0;12.29;232.58
84.0;12.82;245.51
85.0;13.13;258.75
86.0;13.7;272.56
87.0;14.03;286.7
88.0;14.53;301.33
89.0;14.85;316.29
90.0;15.25;331.65
91.0;15.45;347.21
92.0;15.9;363.22
93.0;16.01;379.34
94.0;16.34;395.8
95.0;16.54;412.44
