GRAND_ID: 7283
DAM_NAME: 108.282545
LONG: 108.282545
LAT: 32.828457
Depth(m);Area(km2);Volume(mcm)
0.0;0.0;0.0
1.0;0.01;0.11
2.0;0.08;0.3
3.0;0.13;0.53
4.0;0.26;0.89
5.0;0.36;1.35
6.0;0.5;1.95
7.0;0.65;2.7
8.0;1.08;3.88
9.0;1.27;5.24
10.0;1.71;7.06
11.0;2.07;9.23
12.0;2.77;12.1
13.0;3.07;15.27
14.0;4.49;19.86
15.0;4.94;24.9
16.0;6.05;31.05
17.0;6.93;38.08
18.0;7.93;46.11
19.0;8.62;54.84
20.0;9.87;64.81
21.0;10.39;75.31
22.0;11.31;86.71
23.0;12.04;98.86
24.0;12.74;111.7
25.0;13.14;124.93
26.0;13.74;138.77
27.0;13.97;152.84
28.0;14.37;167.32
29.0;14.71;182.12
30.0;15.05;197.28
31.0;15.25;212.63
32.0;15.69;228.42
33.0;15.83;244.34
34.0;16.06;260.5
35.0;16.24;276.84
36.0;16.47;293.41
