GRAND_ID: 7307
DAM_NAME: -112.273803
LONG: -112.273803
LAT: 33.849176
Depth(m);Area(km2);Volume(mcm)
0.0;0.0;0.0
1.0;0.07;0.17
2.0;0.1;0.38
3.0;0.18;0.66
4.0;0.21;0.98
5.0;0.29;1.38
6.0;0.34;1.82
7.0;0.43;2.35
8.0;0.47;2.93
9.0;0.61;3.65
10.0;0.67;4.42
11.0;0.81;5.33
12.0;0.88;6.32
13.0;1.03;7.45
14.0;1.11;8.66
15.0;1.26;10.03
16.0;1.33;11.46
17.0;1.48;13.05
18.0;1.56;14.71
19.0;2.05;16.87
20.0;2.36;19.33
21.0;2.79;22.22
22.0;2.96;25.28
23.0;3.26;28.64
24.0;3.44;32.19
25.0;3.76;36.05
26.0;3.89;40.04
27.0;4.15;44.3
28.0;4.29;48.7
29.0;4.58;53.38
30.0;4.72;58.2
31.0;4.98;63.28
32.0;5.13;68.52
33.0;5.58;74.2
34.0;5.92;80.22
35.0;6.52;86.85
36.0;6.89;93.85
37.0;7.53;101.48
38.0;7.92;109.51
39.0;8.55;118.16
40.0;8.86;127.12
41.0;9.37;136.59
42.0;9.6;146.3
43.0;10.09;156.49
44.0;10.38;166.98
45.0;10.85;177.93
46.0;11.09;189.12
47.0;11.86;201.08
48.0;12.39;213.58
49.0;13.14;226.81
50.0;13.52;240.44
51.0;14.5;255.04
52.0;14.94;270.09
53.0;15.82;286.01
54.0;16.37;302.49
55.0;17.63;320.21
56.0;18.51;338.83
57.0;20.31;359.25
58.0;21.14;380.49
59.0;22.92;403.52
60.0;23.75;427.37
61.0;25.24;452.71
62.0;25.92;478.74
63.0;27.29;506.12
64.0;28.12;534.35
65.0;29.85;564.31
66.0;30.57;594.98
67.0;32.52;627.6
68.0;33.37;661.08
69.0;35.35;696.53
70.0;35.93;732.57
71.0;37.36;770.04
72.0;37.79;807.93
73.0;38.75;846.79
74.0;39.03;885.92
75.0;39.66;925.68
76.0;39.85;965.63
