GRAND_ID: 7261
DAM_NAME: 103.284051
LONG: 103.284051
LAT: 23.047537
Depth(m);Area(km2);Volume(mcm)
0.0;0.0;0.0
1.0;0.16;0.34
2.0;0.21;0.73
3.0;0.47;1.38
4.0;0.63;2.19
5.0;0.95;3.32
6.0;1.04;4.55
7.0;1.45;6.18
8.0;1.78;8.14
9.0;2.28;10.6
10.0;2.28;13.06
11.0;3.52;16.76
12.0;3.68;20.63
13.0;4.36;25.17
14.0;4.75;30.1
15.0;5.66;35.94
16.0;5.92;42.04
17.0;6.57;48.79
18.0;7.17;56.15
19.0;8.21;64.54
20.0;8.46;73.18
21.0;9.85;83.22
22.0;10.57;93.97
23.0;11.67;105.82
24.0;11.67;117.67
25.0;13.48;131.33
26.0;13.48;144.99
27.0;14.62;159.79
28.0;15.13;175.1
29.0;16.48;191.77
30.0;16.83;208.78
31.0;17.85;226.81
32.0;17.85;244.83
33.0;18.62;263.63
34.0;19.82;283.63
35.0;20.04;303.85
36.0;20.96;324.99
37.0;21.69;346.86
38.0;22.95;369.99
39.0;22.95;393.13
40.0;24.75;418.06
41.0;24.75;442.98
42.0;25.77;468.93
43.0;26.57;495.68
44.0;27.38;523.25
45.0;27.58;551.01
46.0;28.36;579.55
47.0;28.95;608.68
48.0;29.75;638.62
49.0;29.88;668.68
50.0;30.55;699.42
51.0;31.02;730.62
52.0;31.8;762.6
53.0;31.8;794.57
54.0;32.9;827.66
55.0;32.9;860.74
56.0;33.57;894.48
57.0;34.26;928.93
58.0;34.8;963.92
59.0;34.99;999.09
60.0;35.45;1034.73
61.0;35.97;1070.88
62.0;36.42;1107.49
63.0;36.58;1144.25
64.0;37.22;1181.66
65.0;37.49;1219.34
66.0;38.06;1257.57
67.0;38.15;1295.91
68.0;38.91;1335.0
69.0;38.91;1374.09
70.0;39.43;1413.71
71.0;39.65;1453.54
72.0;39.97;1493.7
73.0;40.01;1533.9
74.0;40.38;1574.46
75.0;40.64;1615.29
76.0;40.92;1656.39
77.0;41.04;1697.61
