GRAND_ID: 7314
DAM_NAME: -71.872877
LONG: -71.872877
LAT: 44.334693
Depth(m);Area(km2);Volume(mcm)
0.0;0.0;0.0
1.0;0.02;0.14
2.0;0.05;0.31
3.0;0.07;0.49
4.0;0.1;0.7
5.0;0.12;0.94
6.0;0.15;1.2
7.0;0.18;1.49
8.0;0.22;1.82
9.0;0.24;2.18
10.0;0.28;2.58
11.0;0.32;3.01
12.0;0.42;3.55
13.0;0.5;4.17
14.0;0.62;4.9
15.0;0.68;5.7
16.0;0.77;6.59
17.0;0.83;7.54
18.0;0.95;8.61
19.0;1.07;9.79
20.0;1.28;11.19
21.0;1.42;12.72
22.0;1.63;14.47
23.0;1.76;16.34
24.0;2.01;18.47
25.0;2.18;20.77
26.0;2.42;23.3
27.0;2.57;25.99
28.0;2.81;28.91
29.0;2.96;31.98
30.0;3.21;35.31
31.0;3.35;38.77
32.0;3.63;42.52
33.0;3.87;46.5
34.0;4.16;50.78
35.0;4.42;55.32
36.0;5.03;60.47
37.0;5.68;66.26
38.0;7.09;73.47
39.0;8.35;81.94
40.0;10.0;92.06
41.0;10.66;102.83
42.0;11.64;114.58
43.0;12.16;126.86
44.0;12.86;139.84
45.0;13.23;153.18
46.0;13.8;167.1
47.0;14.09;181.3
48.0;14.5;195.91
49.0;14.67;210.7
