GRAND_ID: 7255
DAM_NAME: 109.50526
LONG: 109.50526
LAT: 28.76086
Depth(m);Area(km2);Volume(mcm)
0.0;0.0;0.0
1.0;0.02;0.14
2.0;0.08;0.35
3.0;0.14;0.61
4.0;0.3;1.04
5.0;0.4;1.57
6.0;0.69;2.38
7.0;0.81;3.31
8.0;1.1;4.53
9.0;1.38;6.04
10.0;1.76;7.92
11.0;2.02;10.06
12.0;2.48;12.67
13.0;2.64;15.43
14.0;3.08;18.64
15.0;3.44;22.2
16.0;3.93;26.26
17.0;4.21;30.59
18.0;4.68;35.4
19.0;4.98;40.5
20.0;5.43;46.05
21.0;5.76;51.93
22.0;6.29;58.34
23.0;6.73;65.2
24.0;7.73;73.06
25.0;8.37;81.55
26.0;9.26;90.93
27.0;9.76;100.81
28.0;10.6;111.54
29.0;10.9;122.57
30.0;11.8;134.49
31.0;12.41;147.02
32.0;13.17;160.32
33.0;13.72;174.16
34.0;14.63;188.92
35.0;15.13;204.17
36.0;15.98;220.28
37.0;16.41;236.81
38.0;17.18;254.11
39.0;17.6;271.83
40.0;18.18;290.13
41.0;18.58;308.83
42.0;19.18;328.14
43.0;19.49;347.76
44.0;20.02;367.9
45.0;20.18;388.21
46.0;20.59;408.92
47.0;20.88;429.93
48.0;21.24;451.29
49.0;21.44;472.85
50.0;21.74;494.72
51.0;21.94;516.78
52.0;22.13;539.03
53.0;22.26;561.42
