GRAND_ID: 7288
DAM_NAME: 101.486055
LONG: 101.486055
LAT: 25.118386
Depth(m);Area(km2);Volume(mcm)
0.0;0.0;0.0
1.0;0.08;0.19
2.0;0.2;0.5
3.0;0.33;0.94
4.0;0.45;1.5
5.0;0.55;2.16
6.0;0.63;2.91
7.0;0.72;3.74
8.0;0.79;4.65
9.0;1.04;5.8
10.0;1.32;7.23
11.0;1.72;9.07
12.0;2.11;11.28
13.0;2.47;13.87
14.0;2.74;16.72
15.0;3.07;19.91
16.0;3.49;23.51
17.0;3.92;27.54
18.0;4.41;32.06
19.0;4.85;37.03
20.0;5.32;42.46
21.0;5.76;48.33
22.0;6.0;54.45
23.0;6.27;60.83
24.0;6.41;67.35
25.0;6.53;74.0
