GRAND_ID: 7248
DAM_NAME: 106.372009
LONG: 106.372009
LAT: 26.971204
Depth(m);Area(km2);Volume(mcm)
0.0;0.0;0.0
1.0;0.01;0.11
2.0;0.03;0.25
3.0;0.04;0.4
4.0;0.07;0.58
5.0;0.09;0.77
6.0;0.11;0.99
7.0;0.13;1.22
8.0;0.14;1.47
9.0;0.17;1.74
10.0;0.19;2.03
11.0;0.22;2.36
12.0;0.26;2.72
13.0;0.29;3.12
14.0;0.33;3.56
15.0;0.36;4.02
16.0;0.4;4.53
17.0;0.42;5.06
18.0;0.47;5.64
19.0;0.5;6.24
20.0;0.55;6.89
21.0;0.57;7.57
22.0;0.63;8.31
23.0;0.68;9.09
24.0;0.73;9.93
25.0;0.78;10.82
26.0;0.86;11.78
27.0;0.95;12.84
28.0;1.08;14.02
29.0;1.18;15.31
30.0;1.31;16.73
31.0;1.45;18.29
32.0;1.6;19.99
33.0;1.7;21.8
34.0;1.85;23.75
35.0;1.98;25.84
36.0;2.13;28.07
37.0;2.25;30.42
38.0;2.39;32.91
39.0;2.49;35.51
40.0;2.63;38.25
41.0;2.72;41.07
42.0;2.85;44.02
43.0;2.91;47.04
44.0;3.06;50.2
45.0;3.13;53.44
46.0;3.28;56.82
47.0;3.33;60.26
48.0;3.45;63.81
49.0;3.5;67.42
50.0;3.61;71.13
51.0;3.65;74.88
52.0;3.72;78.7
53.0;3.78;82.59
54.0;3.83;86.53
55.0;3.89;90.52
56.0;3.95;94.58
57.0;3.99;98.67
58.0;4.04;102.82
59.0;4.07;107.0
60.0;4.14;111.25
61.0;4.18;115.53
62.0;4.23;119.87
63.0;4.26;124.24
64.0;4.3;128.65
65.0;4.33;133.08
66.0;4.37;137.55
67.0;4.4;142.06
