GRAND_ID: 7295
DAM_NAME: 109.170693
LONG: 109.170693
LAT: 28.75999
Depth(m);Area(km2);Volume(mcm)
0.0;0.0;0.0
1.0;0.03;0.15
2.0;0.06;0.34
3.0;0.07;0.54
4.0;0.18;0.85
5.0;0.26;1.23
6.0;0.52;1.88
7.0;0.74;2.75
8.0;1.1;3.98
9.0;1.25;5.36
10.0;1.74;7.24
11.0;2.12;9.48
12.0;2.97;12.58
13.0;3.49;16.2
14.0;4.32;20.65
15.0;4.6;25.38
16.0;5.2;30.71
17.0;5.44;36.28
18.0;5.89;42.29
19.0;6.09;48.51
20.0;6.42;55.05
21.0;6.55;61.73
22.0;6.85;68.71
23.0;7.01;75.86
24.0;7.28;83.27
25.0;7.43;90.82
26.0;7.62;98.57
27.0;7.75;106.45
28.0;7.94;114.51
29.0;8.03;122.67
30.0;8.2;131.0
