GRAND_ID: 7243
DAM_NAME: 101.504055
LONG: 101.504055
LAT: 23.022381
Depth(m);Area(km2);Volume(mcm)
0.0;0.0;0.0
1.0;0.0;0.11
2.0;0.03;0.25
3.0;0.03;0.39
4.0;0.05;0.54
5.0;0.06;0.71
6.0;0.09;0.91
7.0;0.09;1.1
8.0;0.12;1.33
9.0;0.12;1.56
10.0;0.14;1.81
11.0;0.15;2.07
12.0;0.21;2.39
13.0;0.23;2.73
14.0;0.28;3.11
15.0;0.28;3.5
16.0;0.33;3.94
17.0;0.37;4.41
18.0;0.44;4.97
19.0;0.5;5.58
20.0;0.58;6.26
21.0;0.59;6.97
22.0;0.74;7.81
23.0;0.74;8.66
24.0;0.81;9.57
25.0;0.85;10.53
26.0;0.96;11.59
27.0;1.0;12.7
28.0;1.07;13.88
29.0;1.12;15.11
30.0;1.22;16.44
31.0;1.26;17.81
32.0;1.35;19.27
33.0;1.42;20.8
34.0;1.55;22.46
35.0;1.57;24.14
36.0;1.74;25.99
37.0;1.79;27.88
38.0;2.01;30.0
39.0;2.1;32.2
40.0;2.29;34.61
41.0;2.33;37.04
42.0;2.53;39.68
43.0;2.59;42.38
44.0;2.8;45.3
45.0;2.8;48.21
46.0;2.96;51.28
47.0;3.04;54.42
48.0;3.19;57.72
49.0;3.25;61.08
50.0;3.42;64.61
51.0;3.51;68.23
52.0;3.73;72.07
53.0;3.77;75.95
54.0;4.09;80.15
55.0;4.19;84.44
56.0;4.48;89.03
57.0;4.63;93.77
58.0;4.91;98.79
59.0;4.96;103.86
60.0;5.25;109.21
61.0;5.4;114.72
62.0;5.63;120.46
63.0;5.66;126.23
64.0;5.98;132.32
65.0;6.01;138.43
66.0;6.2;144.75
67.0;6.27;151.12
68.0;6.45;157.68
69.0;6.52;164.31
70.0;6.69;171.12
71.0;6.71;177.94
72.0;6.84;184.89
73.0;6.89;191.88
74.0;6.99;198.98
75.0;7.0;206.09
76.0;7.07;213.27
77.0;7.1;220.48
78.0;7.17;227.75
79.0;7.18;235.04
