GRAND_ID: 7256
DAM_NAME: 103.036774
LONG: 103.036774
LAT: 29.671801
Depth(m);Area(km2);Volume(mcm)
0.0;0.0;0.0
1.0;0.01;0.12
2.0;0.05;0.27
3.0;0.08;0.45
4.0;0.13;0.68
5.0;0.19;0.97
6.0;0.25;1.32
7.0;0.28;1.7
8.0;0.35;2.15
9.0;0.39;2.64
10.0;0.51;3.25
11.0;0.58;3.94
12.0;0.75;4.79
13.0;0.83;5.73
14.0;0.97;6.8
15.0;1.08;7.98
16.0;1.26;9.34
17.0;1.34;10.78
18.0;1.51;12.39
19.0;1.6;14.09
20.0;1.8;15.99
21.0;1.89;17.98
22.0;2.03;20.11
23.0;2.08;22.29
24.0;2.19;24.58
25.0;2.26;26.94
26.0;2.37;29.41
27.0;2.44;31.95
28.0;2.54;34.59
29.0;2.59;37.28
30.0;2.69;40.07
31.0;2.75;42.92
32.0;2.85;45.87
33.0;2.91;48.88
34.0;3.02;52.01
35.0;3.13;55.24
36.0;3.19;58.53
37.0;3.3;61.93
38.0;3.4;65.44
39.0;3.48;69.02
40.0;3.58;72.7
41.0;3.64;76.44
42.0;3.76;80.3
43.0;3.83;84.23
44.0;3.99;88.32
45.0;4.08;92.5
46.0;4.2;96.8
47.0;4.29;101.19
48.0;4.41;105.71
49.0;4.48;110.28
50.0;4.63;115.01
51.0;4.7;119.82
52.0;4.84;124.76
53.0;4.91;129.77
54.0;5.06;134.94
55.0;5.14;140.18
56.0;5.29;145.58
57.0;5.4;151.08
58.0;5.49;156.67
59.0;5.62;162.4
60.0;5.75;168.25
61.0;5.82;174.18
62.0;5.98;180.25
63.0;6.06;186.42
64.0;6.25;192.77
65.0;6.35;199.21
66.0;6.58;205.89
67.0;6.75;212.74
68.0;6.96;219.8
69.0;7.12;227.02
70.0;7.39;234.52
71.0;7.51;242.12
72.0;7.77;249.99
73.0;7.92;258.01
74.0;8.16;266.27
75.0;8.32;274.7
76.0;8.59;283.39
77.0;8.75;292.24
78.0;9.03;301.37
79.0;9.27;310.74
