GRAND_ID: 7264
DAM_NAME: 108.937953
LONG: 108.937953
LAT: 32.309898
Depth(m);Area(km2);Volume(mcm)
0.0;0.0;0.0
1.0;0.02;0.14
2.0;0.05;0.31
3.0;0.08;0.5
4.0;0.11;0.73
5.0;0.13;0.98
6.0;0.15;1.25
7.0;0.17;1.54
8.0;0.2;1.85
9.0;0.23;2.2
10.0;0.28;2.59
11.0;0.3;3.02
12.0;0.37;3.51
13.0;0.41;4.03
14.0;0.48;4.63
15.0;0.52;5.27
16.0;0.59;5.98
17.0;0.64;6.73
18.0;0.7;7.55
19.0;0.73;8.4
20.0;0.79;9.31
21.0;0.81;10.24
22.0;0.86;11.22
23.0;0.89;12.23
24.0;0.93;13.28
25.0;0.97;14.36
26.0;1.0;15.48
27.0;1.04;16.64
28.0;1.1;17.85
29.0;1.13;19.1
30.0;1.2;20.42
31.0;1.22;21.76
32.0;1.31;23.19
33.0;1.37;24.68
34.0;1.46;26.25
35.0;1.54;27.91
36.0;1.63;29.66
37.0;1.68;31.46
38.0;1.78;33.36
39.0;1.85;35.33
40.0;1.97;37.42
41.0;2.05;39.59
42.0;2.18;41.89
43.0;2.28;44.29
44.0;2.39;46.8
45.0;2.46;49.37
46.0;2.58;52.07
47.0;2.67;54.86
48.0;2.79;57.77
49.0;2.84;60.73
50.0;3.0;63.85
51.0;3.06;67.03
52.0;3.19;70.33
53.0;3.28;73.74
54.0;3.37;77.23
55.0;3.43;80.78
