GRAND_ID: 7250
DAM_NAME: 120.034658
LONG: 120.034658
LAT: 28.118127
Depth(m);Area(km2);Volume(mcm)
0.0;0.0;0.0
1.0;0.13;0.26
2.0;0.14;0.52
3.0;0.29;0.94
4.0;0.34;1.4
5.0;0.44;1.97
6.0;0.48;2.57
7.0;0.65;3.35
8.0;0.77;4.24
9.0;0.9;5.26
10.0;1.03;6.42
11.0;1.22;7.75
12.0;1.39;9.27
13.0;1.75;11.14
14.0;1.92;13.18
15.0;2.2;15.49
16.0;2.58;18.2
17.0;3.16;21.49
18.0;3.53;25.14
19.0;4.06;29.32
20.0;4.51;33.96
21.0;4.96;39.04
22.0;5.28;44.44
23.0;5.68;50.25
24.0;6.14;56.51
25.0;6.58;63.2
26.0;6.95;70.28
27.0;7.45;77.85
28.0;7.78;85.75
29.0;8.23;94.11
30.0;8.59;102.82
31.0;8.94;111.88
32.0;9.21;121.21
33.0;9.81;131.14
34.0;10.11;141.37
35.0;10.45;151.95
36.0;10.67;162.74
37.0;11.18;174.05
38.0;11.51;185.68
39.0;11.99;197.79
40.0;12.27;210.18
41.0;12.73;223.03
42.0;13.25;236.4
43.0;13.69;250.21
44.0;13.96;264.29
45.0;14.38;278.79
46.0;14.79;293.71
47.0;15.51;309.34
48.0;15.87;325.33
49.0;16.49;341.94
50.0;16.89;358.95
51.0;17.67;376.75
52.0;17.87;394.74
53.0;18.62;413.48
54.0;19.13;432.73
55.0;19.94;452.8
56.0;20.5;473.43
57.0;21.32;494.87
58.0;21.76;516.75
59.0;22.94;539.81
60.0;23.4;563.34
61.0;24.14;587.59
62.0;24.41;612.13
63.0;25.41;637.66
64.0;25.86;663.64
65.0;26.65;690.42
66.0;27.15;717.69
67.0;28.35;746.16
68.0;28.85;775.13
69.0;29.6;804.85
70.0;29.96;834.93
71.0;30.83;865.89
72.0;31.5;897.51
73.0;32.32;929.96
74.0;32.82;962.9
75.0;33.63;996.65
76.0;34.36;1031.13
77.0;35.24;1066.5
78.0;36.07;1102.68
79.0;37.3;1140.11
80.0;38.22;1178.45
81.0;39.24;1217.82
82.0;39.83;1257.77
83.0;41.31;1299.21
84.0;42.45;1341.78
85.0;43.7;1385.61
86.0;44.65;1430.38
87.0;45.85;1476.34
88.0;47.0;1523.46
89.0;48.01;1571.6
90.0;48.86;1620.58
91.0;49.92;1670.62
92.0;51.05;1721.8
93.0;52.26;1774.18
94.0;53.19;1827.5
95.0;54.5;1882.12
96.0;55.48;1937.72
97.0;56.76;1994.61
98.0;57.55;2052.28
99.0;58.78;2111.18
100.0;60.05;2171.36
101.0;60.98;2232.46
102.0;61.65;2294.23
103.0;62.75;2357.11
104.0;64.03;2421.26
105.0;65.23;2486.62
106.0;65.81;2552.55
107.0;67.27;2619.94
108.0;68.0;2688.06
109.0;69.45;2757.64
110.0;70.01;2827.76
111.0;71.48;2899.37
112.0;72.16;2971.65
113.0;73.51;3045.28
114.0;73.97;3119.38
115.0;75.33;3194.83
116.0;75.98;3270.93
117.0;77.49;3348.54
118.0;78.0;3426.67
119.0;79.43;3506.22
120.0;79.97;3586.31
121.0;81.61;3668.05
122.0;82.1;3750.27
123.0;83.38;3833.77
124.0;83.79;3917.68
125.0;85.44;4003.24
126.0;85.99;4089.36
127.0;87.02;4176.5
128.0;87.74;4264.36
129.0;89.25;4353.73
130.0;90.09;4443.95
131.0;91.0;4535.07
132.0;91.52;4626.71
133.0;92.46;4719.3
134.0;93.21;4812.64
135.0;93.96;4906.72
136.0;94.66;5001.5
137.0;95.71;5097.34
138.0;96.61;5194.07
139.0;97.62;5291.81
140.0;98.35;5390.28
141.0;99.32;5489.72
142.0;100.26;5590.1
143.0;101.07;5691.3
144.0;101.57;5793.0
145.0;102.51;5895.62
146.0;103.12;5998.87
147.0;103.87;6102.86
148.0;104.39;6207.37
149.0;105.3;6312.79
150.0;105.98;6418.89
