GRAND_ID: 7285
DAM_NAME: -73.014695
LONG: -73.014695
LAT: 10.909495
Depth(m);Area(km2);Volume(mcm)
0.0;0.0;0.0
1.0;0.01;0.12
2.0;0.01;0.24
3.0;0.02;0.36
4.0;0.02;0.49
5.0;0.04;0.64
6.0;0.05;0.79
7.0;0.06;0.96
8.0;0.08;1.14
9.0;0.09;1.34
10.0;0.1;1.55
11.0;0.12;1.77
12.0;0.14;2.02
13.0;0.17;2.3
14.0;0.19;2.59
15.0;0.22;2.92
16.0;0.23;3.26
17.0;0.27;3.63
18.0;0.28;4.02
19.0;0.31;4.44
20.0;0.32;4.86
21.0;0.35;5.32
22.0;0.37;5.8
23.0;0.41;6.31
24.0;0.42;6.84
25.0;0.48;7.42
26.0;0.5;8.03
27.0;0.56;8.7
28.0;0.61;9.42
29.0;0.68;10.21
30.0;0.72;11.04
31.0;0.79;11.94
32.0;0.82;12.87
33.0;0.94;13.91
34.0;0.98;15.01
35.0;1.06;16.18
36.0;1.11;17.4
37.0;1.21;18.71
38.0;1.25;20.07
39.0;1.34;21.52
40.0;1.37;23.0
41.0;1.46;24.57
42.0;1.49;26.16
43.0;1.56;27.83
44.0;1.59;29.53
45.0;1.66;31.3
46.0;1.7;33.11
47.0;1.77;34.99
48.0;1.83;36.93
49.0;1.97;39.01
50.0;2.01;41.13
51.0;2.11;43.35
52.0;2.16;45.62
53.0;2.26;47.99
54.0;2.31;50.41
55.0;2.4;52.92
56.0;2.45;55.48
57.0;2.54;58.12
58.0;2.6;60.83
59.0;2.77;63.71
60.0;2.85;66.67
61.0;3.12;69.9
62.0;3.24;73.25
63.0;3.44;76.8
64.0;3.52;80.43
65.0;3.72;84.26
66.0;3.81;88.18
67.0;3.98;92.27
68.0;4.07;96.45
69.0;4.27;100.83
70.0;4.34;105.28
71.0;4.52;109.91
72.0;4.6;114.62
73.0;4.79;119.52
74.0;4.87;124.5
75.0;5.02;129.63
76.0;5.1;134.84
77.0;5.26;140.21
78.0;5.3;145.63
79.0;5.48;151.21
80.0;5.57;156.89
81.0;5.73;162.72
82.0;5.79;168.62
