GRAND_ID: 7267
DAM_NAME: 103.710657
LONG: 103.710657
LAT: 29.090163
Depth(m);Area(km2);Volume(mcm)
0.0;0.0;0.0
1.0;0.03;0.14
2.0;0.04;0.29
3.0;0.07;0.47
4.0;0.09;0.67
5.0;0.14;0.92
6.0;0.16;1.18
7.0;0.21;1.5
8.0;0.26;1.87
9.0;0.3;2.28
10.0;0.35;2.74
11.0;0.43;3.27
12.0;0.46;3.84
13.0;0.55;4.5
14.0;0.59;5.2
15.0;0.64;5.95
16.0;0.72;6.78
17.0;0.84;7.72
18.0;0.9;8.73
19.0;1.01;9.84
20.0;1.09;11.04
21.0;1.25;12.39
22.0;1.31;13.82
23.0;1.48;15.4
24.0;1.6;17.11
25.0;1.76;18.98
26.0;2.02;21.11
27.0;2.54;23.76
28.0;2.88;26.75
29.0;3.64;30.49
30.0;4.13;34.73
31.0;4.69;39.53
32.0;5.18;44.82
33.0;6.03;50.96
34.0;6.41;57.48
35.0;7.23;64.82
36.0;7.75;72.67
37.0;8.41;81.2
38.0;8.68;89.98
39.0;9.22;99.31
40.0;9.59;109.0
41.0;10.01;119.12
