GRAND_ID: 7273
DAM_NAME: 102.455176
LONG: 102.455176
LAT: 25.872714
Depth(m);Area(km2);Volume(mcm)
0.0;0.0;0.0
1.0;0.0;0.13
2.0;0.13;0.39
3.0;0.13;0.64
4.0;0.85;1.62
5.0;0.85;2.6
6.0;1.68;4.41
7.0;1.68;6.21
8.0;2.44;8.78
9.0;2.44;11.34
10.0;3.22;14.69
11.0;3.22;18.04
12.0;4.12;22.29
13.0;4.12;26.55
14.0;4.92;31.6
15.0;4.92;36.65
16.0;6.14;42.91
17.0;6.14;49.18
18.0;7.15;56.46
19.0;7.15;63.74
20.0;8.64;72.51
21.0;8.64;81.28
22.0;10.07;91.48
23.0;10.07;101.68
24.0;11.7;113.51
25.0;11.7;125.33
26.0;12.93;138.39
27.0;12.93;151.45
28.0;14.59;166.17
29.0;14.59;180.89
30.0;15.91;196.93
31.0;15.91;212.97
32.0;17.4;230.5
33.0;17.4;248.03
34.0;18.71;266.86
35.0;18.71;285.7
36.0;20.02;305.85
37.0;20.02;326.0
38.0;21.07;347.21
39.0;21.07;368.41
40.0;22.41;390.95
41.0;22.41;413.48
42.0;23.42;437.03
43.0;23.42;460.58
44.0;24.5;485.21
45.0;24.5;509.84
46.0;25.55;535.51
47.0;25.55;561.19
