GRAND_ID: 7260
DAM_NAME: 102.226506
LONG: 102.226506
LAT: 29.94813
Depth(m);Area(km2);Volume(mcm)
0.0;0.0;0.0
1.0;0.02;0.19
2.0;0.02;0.37
3.0;0.15;0.69
4.0;0.26;1.12
5.0;0.3;1.58
6.0;0.41;2.15
7.0;0.44;2.76
8.0;0.53;3.45
9.0;0.57;4.18
10.0;0.66;5.0
11.0;0.69;5.85
12.0;0.78;6.79
13.0;0.81;7.77
14.0;0.93;8.87
15.0;1.17;10.2
16.0;1.17;11.53
17.0;1.24;12.93
18.0;1.51;14.61
19.0;1.69;16.46
20.0;1.69;18.31
21.0;1.96;20.43
22.0;2.09;22.69
23.0;2.13;24.98
24.0;2.42;27.56
25.0;2.52;30.24
26.0;2.65;33.05
27.0;2.79;36.0
28.0;2.85;39.02
29.0;2.95;42.13
30.0;3.07;45.36
31.0;3.18;48.71
32.0;3.24;52.12
33.0;3.38;55.66
34.0;3.46;59.28
35.0;3.57;63.02
36.0;3.77;66.96
37.0;3.81;70.93
38.0;3.94;75.03
39.0;4.21;79.4
40.0;4.37;83.94
41.0;4.42;88.52
42.0;4.77;93.46
43.0;4.99;98.61
44.0;5.06;103.84
45.0;5.52;109.52
46.0;5.71;115.39
47.0;5.94;121.49
48.0;6.17;127.83
49.0;6.33;134.32
50.0;6.51;141.0
51.0;6.56;147.72
52.0;6.93;154.81
53.0;7.06;162.04
54.0;7.23;169.43
55.0;7.41;177.01
56.0;7.53;184.7
57.0;7.64;192.5
58.0;7.78;200.45
59.0;7.88;208.49
60.0;7.96;216.61
61.0;8.07;224.85
62.0;8.16;233.17
63.0;8.24;241.57
64.0;8.37;250.11
65.0;8.39;258.65
66.0;8.44;267.26
67.0;8.53;275.96
68.0;8.6;284.71
69.0;8.61;293.48
70.0;8.68;302.32
71.0;8.71;311.2
72.0;8.72;320.07
73.0;8.78;329.02
74.0;8.81;338.0
75.0;8.84;347.0
