GRAND_ID: 7292
DAM_NAME: 87.206279
LONG: 87.206279
LAT: 47.904945
Depth(m);Area(km2);Volume(mcm)
0.0;0.0;0.0
1.0;0.04;0.14
2.0;0.06;0.31
3.0;0.11;0.52
4.0;0.15;0.77
5.0;0.22;1.1
6.0;0.26;1.46
7.0;0.31;1.87
8.0;0.35;2.32
9.0;0.4;2.82
10.0;0.44;3.37
11.0;0.48;3.94
12.0;0.51;4.55
13.0;0.55;5.21
14.0;0.59;5.9
15.0;0.63;6.62
16.0;0.65;7.38
17.0;0.71;8.19
18.0;0.77;9.06
19.0;0.86;10.02
20.0;0.9;11.02
21.0;1.02;12.14
22.0;1.11;13.36
23.0;1.26;14.72
24.0;1.35;16.17
25.0;1.48;17.75
26.0;1.58;19.44
27.0;1.77;21.31
28.0;1.89;23.31
29.0;2.14;25.55
30.0;2.22;27.87
31.0;2.44;30.41
32.0;2.57;33.08
33.0;2.76;35.94
34.0;2.88;38.92
35.0;3.05;42.07
36.0;3.15;45.32
37.0;3.3;48.73
38.0;3.39;52.22
39.0;3.56;55.88
40.0;3.66;59.65
41.0;3.83;63.58
42.0;3.91;67.6
43.0;4.13;71.83
44.0;4.22;76.15
45.0;4.39;80.64
46.0;4.49;85.23
47.0;4.64;89.97
48.0;4.73;94.8
49.0;4.92;99.82
50.0;5.02;104.94
51.0;5.18;110.23
52.0;5.3;115.62
53.0;5.47;121.19
54.0;5.55;126.85
55.0;5.72;132.67
56.0;5.78;138.56
57.0;5.95;144.61
58.0;6.0;150.71
59.0;6.13;156.94
60.0;6.18;163.22
61.0;6.3;169.62
62.0;6.34;176.06
63.0;6.44;182.6
64.0;6.48;189.19
65.0;6.58;195.87
66.0;6.61;202.58
67.0;6.7;209.38
68.0;6.75;216.23
69.0;6.82;223.15
70.0;6.86;230.11
71.0;6.91;237.12
