GRAND_ID: 1992
DAM_NAME: -76.362119
LONG: -76.362119
LAT: -11.408163
Depth(m);Area(km2);Volume(mcm)
0.0;0.0;0.0
1.0;0.0;0.32
2.0;0.0;0.64
3.0;0.0;0.96
4.0;0.8;2.08
5.0;0.8;3.2
6.0;0.8;4.31
7.0;0.8;5.43
8.0;1.65;7.39
9.0;1.65;9.36
10.0;1.65;11.33
11.0;1.65;13.29
12.0;2.43;16.04
13.0;2.43;18.8
14.0;2.43;21.55
15.0;2.43;24.3
16.0;3.1;27.72
17.0;3.1;31.13
18.0;3.1;34.55
19.0;3.1;37.97
20.0;4.12;42.4
21.0;4.12;46.84
22.0;4.12;51.28
23.0;4.12;55.72
24.0;4.82;60.86
25.0;4.82;66.0
26.0;4.82;71.13
27.0;4.82;76.27
