GRAND_ID: 6402
DAM_NAME: 138.893298
LONG: 138.893298
LAT: 36.715218
Depth(m);Area(km2);Volume(mcm)
0.0;0.0;0.0
1.0;0.03;0.13
2.0;0.04;0.27
3.0;0.06;0.43
4.0;0.07;0.6
5.0;0.09;0.79
6.0;0.1;1.0
7.0;0.12;1.22
8.0;0.13;1.46
9.0;0.15;1.72
10.0;0.17;2.0
11.0;0.19;2.29
12.0;0.2;2.59
13.0;0.24;2.93
14.0;0.25;3.29
15.0;0.28;3.67
16.0;0.3;4.08
17.0;0.32;4.5
18.0;0.34;4.95
19.0;0.39;5.44
20.0;0.41;5.96
21.0;0.46;6.53
22.0;0.49;7.12
23.0;0.52;7.74
24.0;0.54;8.39
25.0;0.59;9.09
26.0;0.61;9.8
27.0;0.65;10.55
28.0;0.66;11.32
29.0;0.69;12.12
30.0;0.7;12.92
31.0;0.72;13.75
32.0;0.73;14.59
33.0;0.75;15.44
34.0;0.75;16.3
35.0;0.76;17.17
36.0;0.76;18.04
