GRAND_ID: 6794
DAM_NAME: Upper Karori
LONG: 174.74375
LAT: -41.29875
Depth(m);Area(km2);Volume(mcm)
0.0;0.0;0.0
0.5;0.0;0.0
1.0;0.01;0.0
1.5;0.01;0.0
2.0;0.01;0.0
2.5;0.01;0.0
3.0;0.02;0.01
3.5;0.02;0.01
4.0;0.02;0.01
4.5;0.02;0.01
5.0;0.02;0.01
5.5;0.02;0.02
6.0;0.03;0.02
6.5;0.03;0.02
7.0;0.03;0.02
7.5;0.03;0.03
8.0;0.03;0.03
8.5;0.03;0.03
9.0;0.04;0.04
9.5;0.04;0.04
10.0;0.04;0.05
10.5;0.04;0.05
11.0;0.05;0.06
11.5;0.05;0.06
12.0;0.05;0.07
12.5;0.05;0.07
13.0;0.05;0.08
13.5;0.05;0.08
14.0;0.05;0.09
14.5;0.05;0.09
15.0;0.06;0.1
15.5;0.06;0.11
16.0;0.06;0.11
16.5;0.06;0.12
17.0;0.06;0.12
17.5;0.06;0.13
18.0;0.06;0.14
18.5;0.06;0.14
19.0;0.07;0.15
19.5;0.07;0.16
20.0;0.07;0.16
20.5;0.07;0.17
21.0;0.07;0.18
21.5;0.07;0.18
22.0;0.07;0.19
22.5;0.07;0.2
23.0;0.07;0.2
23.5;0.07;0.21
24.0;0.07;0.22
24.5;0.07;0.23
25.0;0.07;0.23
25.5;0.07;0.24
26.0;0.07;0.25
26.5;0.07;0.25
27.0;0.07;0.26
27.5;0.07;0.27
28.0;0.07;0.28
28.5;0.07;0.28
29.0;0.07;0.29
29.5;0.07;0.3
