GRAND_ID: 5729
DAM_NAME: 113.25364
LONG: 113.25364
LAT: 23.803542
Depth(m);Area(km2);Volume(mcm)
0.0;0.0;0.0
1.0;0.54;0.77
2.0;1.24;2.24
3.0;1.67;4.14
4.0;2.2;6.57
5.0;2.49;9.3
6.0;2.89;12.42
7.0;3.34;16.0
8.0;3.92;20.15
9.0;4.51;24.89
10.0;5.18;30.31
11.0;6.19;36.73
12.0;6.19;43.15
13.0;8.8;52.18
14.0;9.86;62.28
15.0;10.82;73.33
16.0;11.88;85.44
17.0;12.87;98.54
18.0;14.05;112.83
19.0;15.22;128.28
20.0;16.77;145.28
21.0;18.1;163.61
22.0;20.32;184.16
23.0;21.73;206.12
24.0;25.81;232.16
25.0;30.08;262.48
26.0;34.59;297.3
27.0;38.87;336.41
28.0;45.21;381.85
29.0;49.92;432.0
