GRAND_ID: 1463
DAM_NAME: -77.790011
LONG: -77.790011
LAT: 45.416157
Depth(m);Area(km2);Volume(mcm)
0.0;0.0;0.0
1.0;2.52;2.81
2.0;4.17;7.27
3.0;7.79;15.34
4.0;9.78;25.41
5.0;13.61;39.31
6.0;15.45;55.04
7.0;19.56;74.9
8.0;21.78;96.97
9.0;26.16;123.41
10.0;28.9;152.61
11.0;33.55;186.44
12.0;35.56;222.3
13.0;38.69;261.27
14.0;40.29;301.85
15.0;42.66;344.81
16.0;43.59;388.69
17.0;45.29;434.27
18.0;46.16;480.72
19.0;47.79;528.8
20.0;48.45;577.54
21.0;49.84;627.68
22.0;50.46;678.42
23.0;51.41;730.12
24.0;51.92;782.33
25.0;52.65;835.27
26.0;52.98;888.54
