GRAND_ID: 5488
DAM_NAME: 114.024089
LONG: 114.024089
LAT: 29.426787
Depth(m);Area(km2);Volume(mcm)
0.0;0.0;0.0
1.0;0.06;0.2
2.0;0.14;0.48
3.0;0.19;0.8
4.0;0.25;1.19
5.0;0.29;1.61
6.0;0.35;2.1
7.0;0.4;2.64
8.0;0.46;3.24
9.0;0.51;3.89
10.0;0.59;4.62
11.0;0.72;5.48
12.0;0.94;6.56
13.0;1.08;7.78
14.0;1.23;9.15
15.0;1.37;10.66
16.0;1.53;12.33
17.0;1.67;14.13
18.0;1.84;16.11
19.0;2.01;18.26
20.0;2.25;20.65
21.0;2.65;23.43
22.0;3.07;26.64
23.0;3.52;30.3
24.0;4.05;34.48
25.0;4.5;39.12
26.0;5.1;44.35
27.0;5.67;50.16
28.0;6.33;56.62
29.0;7.0;63.76
30.0;7.96;71.85
31.0;8.74;80.73
32.0;9.46;90.32
33.0;10.1;100.56
34.0;10.89;111.59
35.0;11.49;123.22
36.0;12.13;135.48
37.0;12.72;148.34
38.0;13.38;161.85
39.0;13.89;175.88
40.0;14.38;190.39
41.0;14.73;205.26
42.0;15.05;220.44
