GRAND_ID: 719
DAM_NAME: -94.976042
LONG: -94.976042
LAT: 50.264983
Depth(m);Area(km2);Volume(mcm)
0.0;0.0;0.0
1.0;0.3;0.62
2.0;2.05;2.99
3.0;3.23;6.54
4.0;5.19;12.05
5.0;9.2;21.58
6.0;16.9;38.8
7.0;20.5;59.62
8.0;27.54;87.48
9.0;34.53;122.33
10.0;58.47;181.12
11.0;77.33;258.78
12.0;108.12;367.22
13.0;122.49;490.03
14.0;153.88;644.24
15.0;169.98;814.54
16.0;197.71;1012.58
17.0;212.28;1225.19
18.0;237.68;1463.18
19.0;251.9;1715.41
20.0;275.3;1991.03
21.0;287.46;2278.81
22.0;304.62;2583.75
23.0;313.16;2897.24
24.0;324.26;3221.82
25.0;328.98;3551.13
26.0;335.87;3887.31
27.0;338.91;4226.55
28.0;342.7;4569.57
29.0;344.29;4914.18
