GRAND_ID: 3368
DAM_NAME: 7.569566
LONG: 7.569566
LAT: 46.135131
Depth(m);Area(km2);Volume(mcm)
0.0;0.0;0.0
1.0;0.0;0.12
2.0;0.05;0.28
3.0;0.05;0.44
4.0;0.06;0.63
5.0;0.06;0.81
6.0;0.08;1.0
7.0;0.08;1.2
8.0;0.1;1.41
9.0;0.1;1.63
10.0;0.12;1.86
11.0;0.12;2.09
12.0;0.13;2.34
13.0;0.13;2.59
14.0;0.16;2.86
15.0;0.16;3.14
16.0;0.17;3.42
17.0;0.17;3.71
18.0;0.19;4.01
19.0;0.19;4.32
20.0;0.2;4.64
21.0;0.2;4.96
22.0;0.22;5.3
23.0;0.22;5.63
24.0;0.25;6.0
25.0;0.25;6.37
26.0;0.28;6.76
27.0;0.28;7.16
28.0;0.3;7.57
29.0;0.3;7.98
30.0;0.33;8.43
31.0;0.33;8.88
32.0;0.36;9.36
33.0;0.36;9.84
34.0;0.42;10.38
35.0;0.42;10.91
36.0;0.45;11.48
37.0;0.45;12.05
38.0;0.48;12.64
39.0;0.48;13.24
40.0;0.51;13.86
41.0;0.51;14.49
42.0;0.54;15.14
43.0;0.54;15.8
44.0;0.56;16.47
45.0;0.56;17.14
46.0;0.59;17.85
47.0;0.59;18.55
48.0;0.6;19.27
49.0;0.6;19.99
50.0;0.65;20.75
51.0;0.65;21.52
52.0;0.67;22.3
53.0;0.67;23.09
54.0;0.7;23.91
55.0;0.7;24.73
56.0;0.73;25.58
57.0;0.73;26.42
58.0;0.76;27.3
59.0;0.76;28.17
60.0;0.78;29.07
61.0;0.78;29.97
62.0;0.8;30.89
63.0;0.8;31.81
64.0;0.83;32.76
65.0;0.83;33.71
66.0;0.86;34.68
67.0;0.86;35.66
68.0;0.87;36.65
69.0;0.87;37.64
70.0;0.9;38.65
71.0;0.9;39.67
72.0;0.91;40.7
73.0;0.91;41.72
74.0;0.92;42.76
75.0;0.92;43.8
76.0;0.93;44.85
77.0;0.93;45.89
78.0;0.94;46.94
79.0;0.94;48.0
80.0;0.94;49.05
81.0;0.94;50.11
