GRAND_ID: 6664
DAM_NAME: 145.899456
LONG: 145.899456
LAT: -37.674637
Depth(m);Area(km2);Volume(mcm)
0.0;0.0;0.0
1.0;0.06;0.17
2.0;0.07;0.35
3.0;0.11;0.58
4.0;0.12;0.81
5.0;0.16;1.08
6.0;0.18;1.37
7.0;0.2;1.68
8.0;0.22;2.01
9.0;0.26;2.38
10.0;0.28;2.77
11.0;0.32;3.2
12.0;0.34;3.65
13.0;0.39;4.15
14.0;0.42;4.68
15.0;0.47;5.26
16.0;0.5;5.88
17.0;0.59;6.58
18.0;0.62;7.3
19.0;0.71;8.12
20.0;0.75;8.98
21.0;0.84;9.93
22.0;0.88;10.92
23.0;0.97;12.0
24.0;1.01;13.12
25.0;1.09;14.32
26.0;1.13;15.57
27.0;1.21;16.89
28.0;1.25;18.25
29.0;1.32;19.69
30.0;1.36;21.16
31.0;1.46;22.72
32.0;1.5;24.33
33.0;1.6;26.05
34.0;1.65;27.81
35.0;1.75;29.67
36.0;1.8;31.58
37.0;1.89;33.58
38.0;1.94;35.63
39.0;2.18;37.92
40.0;2.28;40.31
41.0;2.51;42.93
42.0;2.63;45.67
43.0;2.97;48.75
44.0;3.07;51.93
45.0;3.35;55.39
46.0;3.48;58.98
47.0;3.71;62.8
48.0;3.83;66.74
49.0;4.05;70.91
50.0;4.12;75.14
51.0;4.32;79.57
52.0;4.41;84.09
53.0;4.59;88.79
54.0;4.65;93.55
55.0;4.83;98.5
56.0;4.93;103.54
57.0;5.16;108.81
58.0;5.27;114.19
59.0;5.46;119.76
60.0;5.52;125.4
61.0;5.7;131.21
62.0;5.79;137.11
63.0;5.93;143.15
64.0;5.99;149.25
65.0;6.1;155.46
66.0;6.15;161.72
67.0;6.24;168.06
68.0;6.27;174.44
69.0;6.34;180.9
70.0;6.36;187.37
71.0;6.4;193.88
72.0;6.42;200.41
