GRAND_ID: 3696
DAM_NAME: 19.806813
LONG: 19.806813
LAT: 66.958163
Depth(m);Area(km2);Volume(mcm)
0.0;0.0;0.0
1.0;0.05;0.17
2.0;0.11;0.4
3.0;0.29;0.8
4.0;0.4;1.31
5.0;0.46;1.88
6.0;0.51;2.51
7.0;0.74;3.36
8.0;0.8;4.27
9.0;0.8;5.18
10.0;1.02;6.32
11.0;1.14;7.57
12.0;1.14;8.82
13.0;1.36;10.3
14.0;1.54;11.95
15.0;1.54;13.6
16.0;1.71;15.43
17.0;1.99;17.53
18.0;1.99;19.64
19.0;2.22;21.97
20.0;2.44;24.53
21.0;2.62;27.26
22.0;2.68;30.05
23.0;2.96;33.13
24.0;3.19;36.43
25.0;3.54;40.08
26.0;3.76;43.96
27.0;4.17;48.24
28.0;4.17;52.52
29.0;4.74;57.37
30.0;4.97;62.45
31.0;5.37;67.93
32.0;5.43;73.47
33.0;5.6;79.18
34.0;5.77;85.07
35.0;6.12;91.3
36.0;6.12;97.54
37.0;6.87;104.52
38.0;7.33;111.96
39.0;9.87;121.95
40.0;10.97;133.03
41.0;15.99;149.13
42.0;18.47;167.72
43.0;26.55;194.39
44.0;31.87;226.37
45.0;43.73;270.21
46.0;49.84;320.16
47.0;64.89;385.16
48.0;70.95;456.22
49.0;81.1;537.43
50.0;86.59;624.13
51.0;95.7;719.94
52.0;99.5;819.56
53.0;111.67;931.35
54.0;116.28;1047.74
55.0;127.89;1175.74
56.0;133.54;1309.39
57.0;142.89;1452.4
58.0;146.63;1599.14
59.0;155.91;1755.16
60.0;158.9;1914.18
61.0;167.1;2081.4
62.0;170.8;2252.31
63.0;177.26;2429.68
64.0;180.09;2609.88
65.0;187.75;2797.75
66.0;190.81;2988.67
67.0;196.33;3185.11
68.0;199.67;3384.9
69.0;204.62;3589.63
70.0;207.16;3796.91
71.0;217.28;4014.3
72.0;221.12;4235.54
73.0;231.62;4467.27
74.0;237.7;4705.08
75.0;251.49;4956.68
76.0;255.68;5212.48
77.0;265.5;5478.09
78.0;271.05;5749.26
79.0;280.73;6030.1
80.0;285.32;6315.54
81.0;293.37;6609.03
82.0;296.75;6905.89
83.0;304.34;7210.35
84.0;307.27;7517.73
85.0;313.73;7831.57
86.0;316.08;8147.76
87.0;321.86;8469.74
88.0;323.76;8793.61
89.0;328.13;9121.85
90.0;330.66;9452.62
91.0;335.59;9788.32
92.0;337.31;10125.75
93.0;342.99;10468.85
94.0;344.82;10813.78
95.0;348.1;11162.0
96.0;349.48;11511.59
97.0;352.76;11864.46
98.0;354.02;12218.59
99.0;356.95;12575.66
100.0;358.73;12934.5
101.0;360.97;13295.58
102.0;361.94;13657.64
103.0;363.71;14021.46
104.0;364.45;14386.03
105.0;366.57;14752.71
106.0;367.55;15120.37
107.0;369.21;15489.69
108.0;369.95;15859.76
109.0;371.04;16230.91
110.0;371.44;16602.47
111.0;372.7;16975.28
112.0;373.45;17348.85
113.0;374.88;17723.85
114.0;375.23;18099.19
115.0;376.09;18475.39
116.0;376.43;18851.94
117.0;377.23;19229.29
118.0;377.41;19606.81
119.0;378.2;19985.13
120.0;378.78;20364.01
121.0;379.29;20743.41
122.0;379.57;21123.1
123.0;380.26;21503.47
124.0;380.43;21884.02
125.0;381.0;22265.13
126.0;381.29;22646.53
127.0;381.8;23028.45
128.0;382.08;23410.64
129.0;382.71;23793.47
130.0;383.06;24176.64
131.0;383.69;24560.44
132.0;383.86;24944.41
133.0;384.37;25328.89
134.0;384.49;25713.49
135.0;384.95;26098.55
136.0;385.12;26483.79
137.0;385.58;26869.48
138.0;385.75;27255.34
139.0;386.38;27641.84
