GRAND_ID: 2411
DAM_NAME: -49.732019
LONG: -49.732019
LAT: -23.131401
Depth(m);Area(km2);Volume(mcm)
0.0;0.0;0.0
1.0;0.0;0.12
2.0;0.0;0.24
3.0;0.0;0.36
4.0;0.0;0.48
5.0;0.0;0.6
6.0;0.0;0.72
7.0;0.02;0.86
8.0;0.04;1.01
9.0;0.05;1.18
10.0;0.05;1.35
11.0;0.05;1.52
12.0;0.07;1.7
13.0;0.09;1.91
14.0;0.09;2.12
15.0;0.09;2.32
16.0;0.12;2.56
17.0;0.12;2.8
18.0;0.12;3.05
19.0;0.17;3.34
20.0;0.92;4.38
21.0;2.16;6.65
22.0;7.12;13.89
23.0;12.2;26.2
24.0;24.59;50.91
25.0;33.09;84.12
26.0;47.31;131.54
27.0;54.78;186.44
28.0;66.64;253.2
29.0;72.97;326.29
30.0;88.68;415.1
31.0;98.83;514.05
32.0;118.24;632.41
33.0;127.45;759.98
34.0;150.23;910.33
35.0;163.24;1073.69
36.0;188.9;1262.71
37.0;203.25;1466.07
38.0;231.37;1697.56
39.0;245.86;1943.55
40.0;270.6;2214.26
41.0;285.99;2500.37
42.0;310.51;2811.0
43.0;319.77;3130.9
44.0;341.64;3472.66
45.0;353.1;3825.87
46.0;372.8;4198.79
47.0;382.7;4581.61
48.0;402.21;4983.95
49.0;410.95;5395.02
50.0;426.39;5821.53
51.0;434.88;6256.53
52.0;448.35;6704.99
53.0;454.84;7159.95
54.0;467.29;7627.36
55.0;472.71;8100.19
56.0;481.54;8581.86
57.0;485.37;9067.35
58.0;492.14;9559.61
59.0;495.09;10054.82
60.0;500.11;10555.05
61.0;502.5;11057.67
62.0;506.66;11564.45
63.0;508.81;12073.38
64.0;512.37;12585.87
65.0;513.91;13099.9
66.0;517.1;13617.12
67.0;519.05;14136.28
68.0;522.1;14658.5
69.0;523.97;15182.59
70.0;527.09;15709.81
71.0;528.75;16238.68
72.0;531.37;16770.18
73.0;532.65;17302.95
74.0;535.39;17838.45
75.0;537.06;18375.63
76.0;539.78;18915.53
77.0;541.31;19456.96
78.0;543.48;20000.56
79.0;544.33;20545.0
80.0;546.64;21091.76
81.0;547.49;21639.37
82.0;549.4;22188.89
83.0;550.24;22739.25
84.0;551.75;23291.12
85.0;552.28;23843.53
86.0;553.81;24397.46
87.0;554.46;24952.03
88.0;555.72;25507.87
89.0;556.23;26064.22
90.0;557.24;26621.58
91.0;557.75;27179.46
92.0;558.89;27738.46
