GRAND_ID: 4613
DAM_NAME: 32.177146
LONG: 32.177146
LAT: -28.123048
Depth(m);Area(km2);Volume(mcm)
0.0;0.0;0.0
1.0;0.08;0.24
2.0;0.17;0.56
3.0;0.25;0.97
4.0;0.32;1.44
5.0;0.45;2.04
6.0;0.54;2.74
7.0;0.67;3.57
8.0;0.78;4.51
9.0;0.91;5.58
10.0;1.04;6.78
11.0;1.27;8.2
12.0;1.54;9.89
13.0;1.85;11.9
14.0;2.14;14.19
15.0;2.42;16.76
16.0;2.7;19.61
17.0;2.94;22.71
18.0;3.09;25.95
19.0;3.19;29.3
20.0;3.24;32.69
21.0;3.29;36.14
22.0;3.32;39.61
23.0;3.34;43.1
24.0;3.36;46.62
25.0;3.38;50.16
