GRAND_ID: 4895
DAM_NAME: 79.223958
LONG: 79.223958
LAT: 21.661778
Depth(m);Area(km2);Volume(mcm)
0.0;0.0;0.0
1.0;0.07;0.28
2.0;0.25;0.74
3.0;0.44;1.38
4.0;0.79;2.38
5.0;1.0;3.59
6.0;1.34;5.14
7.0;1.51;6.87
8.0;1.81;8.89
9.0;1.97;11.07
10.0;2.25;13.53
11.0;2.43;16.16
12.0;2.73;19.1
13.0;2.89;22.2
14.0;3.23;25.64
15.0;3.4;29.25
16.0;3.76;33.22
17.0;3.98;37.42
18.0;4.48;42.11
19.0;4.78;47.1
20.0;5.36;52.67
21.0;6.07;58.94
22.0;7.42;66.57
23.0;8.06;74.84
24.0;9.2;84.25
25.0;9.85;94.31
26.0;11.41;105.94
27.0;12.82;118.96
28.0;14.99;134.17
29.0;16.27;150.65
30.0;18.16;169.02
31.0;19.35;188.58
32.0;21.55;210.34
33.0;22.82;233.36
34.0;25.38;258.95
35.0;26.99;286.15
36.0;30.08;316.44
37.0;32.06;348.71
38.0;36.34;385.26
39.0;39.52;424.98
40.0;44.81;470.0
41.0;47.35;517.56
42.0;51.24;569.01
43.0;53.16;622.38
44.0;56.32;678.91
45.0;58.08;737.19
46.0;61.2;798.6
47.0;62.84;861.65
48.0;65.56;927.42
49.0;67.1;994.73
50.0;69.63;1064.57
51.0;70.89;1135.67
52.0;72.88;1208.76
53.0;73.87;1282.84
54.0;75.38;1358.43
55.0;76.09;1434.73
56.0;77.21;1512.15
57.0;77.69;1590.04
