GRAND_ID: 3943
DAM_NAME: 18.88074
LONG: 18.88074
LAT: 42.752452
Depth(m);Area(km2);Volume(mcm)
0.0;0.0;0.0
1.0;0.09;0.2
2.0;0.14;0.45
3.0;0.21;0.76
4.0;0.24;1.11
5.0;0.29;1.51
6.0;0.35;1.97
7.0;0.43;2.51
8.0;0.54;3.16
9.0;0.75;4.02
10.0;0.98;5.1
11.0;1.23;6.45
12.0;1.36;7.92
13.0;1.67;9.69
14.0;1.79;11.59
15.0;2.15;13.85
16.0;2.28;16.24
17.0;2.75;19.09
18.0;2.96;22.16
19.0;3.73;26.01
20.0;4.08;30.19
21.0;4.92;35.22
22.0;5.21;40.54
23.0;5.89;46.54
24.0;6.19;52.84
25.0;6.77;59.72
26.0;6.96;66.78
27.0;7.37;74.27
28.0;7.51;81.88
29.0;7.69;89.68
30.0;7.73;97.52
