GRAND_ID: 6600
DAM_NAME: 149.771769
LONG: 149.771769
LAT: -32.728472
Depth(m);Area(km2);Volume(mcm)
0.0;0.0;0.0
1.0;0.1;0.22
2.0;0.17;0.51
3.0;0.44;1.07
4.0;0.57;1.75
5.0;0.93;2.8
6.0;1.13;4.05
7.0;1.66;5.83
8.0;1.96;7.91
9.0;2.87;10.89
10.0;3.25;14.26
11.0;4.29;18.67
12.0;4.71;23.5
13.0;5.5;29.12
14.0;5.88;35.12
15.0;6.74;41.98
16.0;7.06;49.15
17.0;7.65;56.93
18.0;7.97;65.02
19.0;8.86;74.0
20.0;9.25;83.38
21.0;10.65;94.15
22.0;11.26;105.53
23.0;12.61;118.26
24.0;13.29;131.67
25.0;14.73;146.52
26.0;15.26;161.9
27.0;16.32;178.34
28.0;16.72;195.19
29.0;17.62;212.93
30.0;18.01;231.05
31.0;18.87;250.04
32.0;19.24;269.4
33.0;19.73;289.25
34.0;19.98;309.35
35.0;20.37;329.84
36.0;20.53;350.49
