GRAND_ID: 2534
DAM_NAME: -39.590092
LONG: -39.590092
LAT: -15.96913
Depth(m);Area(km2);Volume(mcm)
0.0;0.0;0.0
1.0;0.04;0.15
2.0;0.08;0.35
3.0;0.09;0.55
4.0;0.13;0.79
5.0;0.16;1.06
6.0;0.18;1.35
7.0;0.22;1.68
8.0;0.23;2.02
9.0;0.23;2.36
10.0;0.28;2.75
11.0;0.3;3.17
12.0;0.33;3.61
13.0;0.35;4.08
14.0;0.37;4.56
15.0;0.39;5.07
16.0;0.4;5.58
17.0;0.44;6.14
18.0;0.44;6.69
19.0;0.48;7.28
20.0;0.51;7.89
21.0;0.55;8.55
22.0;0.57;9.24
23.0;0.58;9.93
24.0;0.59;10.63
25.0;0.62;11.37
26.0;0.64;12.12
27.0;0.67;12.9
28.0;0.71;13.72
29.0;0.73;14.56
30.0;0.77;15.45
31.0;0.79;16.34
32.0;0.8;17.25
33.0;0.87;18.23
34.0;0.87;19.21
35.0;0.91;20.24
36.0;0.93;21.28
37.0;0.97;22.36
38.0;0.98;23.45
39.0;1.01;24.57
40.0;1.03;25.71
41.0;1.04;26.87
42.0;1.07;28.05
43.0;1.12;29.28
44.0;1.15;30.54
45.0;1.19;31.85
46.0;1.2;33.16
47.0;1.33;34.61
48.0;1.59;36.31
49.0;2.31;38.73
50.0;4.0;42.84
51.0;5.99;48.94
52.0;7.55;56.61
53.0;9.41;66.13
54.0;11.21;77.46
55.0;13.82;91.39
56.0;15.9;107.4
57.0;18.63;126.15
58.0;21.57;147.83
59.0;25.36;173.3
60.0;27.76;201.18
61.0;30.31;231.6
62.0;32.62;264.33
63.0;35.45;299.9
64.0;37.54;337.56
65.0;40.14;377.81
66.0;42.45;420.38
67.0;45.37;465.85
68.0;48.2;514.17
69.0;51.59;565.88
70.0;55.43;621.42
71.0;60.83;682.37
72.0;65.3;747.78
73.0;69.28;817.17
74.0;73.09;890.38
75.0;76.86;967.35
76.0;80.11;1047.57
77.0;84.06;1131.74
78.0;86.73;1218.58
79.0;90.07;1308.76
