GRAND_ID: 3941
DAM_NAME: 25.267106
LONG: 25.267106
LAT: 42.816817
Depth(m);Area(km2);Volume(mcm)
0.0;0.0;0.0
1.0;0.02;0.12
2.0;0.04;0.26
3.0;0.05;0.42
4.0;0.08;0.6
5.0;0.09;0.8
6.0;0.12;1.02
7.0;0.13;1.24
8.0;0.15;1.49
9.0;0.16;1.75
10.0;0.18;2.04
11.0;0.19;2.33
12.0;0.22;2.66
13.0;0.24;3.0
14.0;0.29;3.39
15.0;0.31;3.8
16.0;0.38;4.28
17.0;0.4;4.78
18.0;0.45;5.33
19.0;0.48;5.9
20.0;0.52;6.52
21.0;0.53;7.15
22.0;0.59;7.84
23.0;0.6;8.55
24.0;0.66;9.31
25.0;0.68;10.09
26.0;0.72;10.91
27.0;0.73;11.75
28.0;0.77;12.62
29.0;0.78;13.5
30.0;0.81;14.41
31.0;0.82;15.33
32.0;0.84;16.28
33.0;0.85;17.23
34.0;0.87;18.2
35.0;0.87;19.17
36.0;0.88;20.15
37.0;0.89;21.14
