GRAND_ID: 2820
DAM_NAME: -5.644792
LONG: -5.644792
LAT: 39.194798
Depth(m);Area(km2);Volume(mcm)
0.0;0.0;0.0
1.0;0.3;0.49
2.0;0.57;1.24
3.0;1.01;2.43
4.0;1.38;3.99
5.0;2.11;6.28
6.0;2.57;9.03
7.0;3.22;12.44
8.0;3.52;16.15
9.0;4.02;20.35
10.0;4.42;24.95
11.0;5.25;30.38
12.0;5.72;36.28
13.0;6.49;42.95
14.0;6.84;49.98
15.0;7.56;57.72
16.0;8.01;65.91
17.0;8.66;74.75
18.0;9.04;83.98
19.0;9.7;93.86
20.0;10.1;104.14
21.0;10.81;115.13
22.0;11.22;126.54
23.0;11.94;138.66
24.0;12.34;151.19
25.0;13.02;164.39
26.0;13.36;177.93
27.0;13.95;192.07
28.0;14.24;206.49
29.0;14.74;221.41
30.0;14.99;236.58
31.0;15.28;252.05
