GRAND_ID: 1835
DAM_NAME: -87.380231
LONG: -87.380231
LAT: 34.806299
Depth(m);Area(km2);Volume(mcm)
0.0;0.0;0.0
1.0;0.27;0.46
2.0;0.7;1.34
3.0;1.02;2.55
4.0;1.59;4.33
5.0;1.91;6.42
6.0;2.41;9.02
7.0;2.81;12.02
8.0;3.34;15.55
9.0;3.78;19.51
10.0;5.06;24.75
11.0;6.86;31.8
12.0;9.94;41.93
13.0;15.88;58.0
14.0;51.38;109.57
15.0;76.46;186.21
16.0;103.99;290.38
17.0;120.71;411.28
18.0;140.09;551.56
19.0;153.44;705.19
20.0;168.98;874.35
21.0;177.46;1051.99
22.0;187.91;1240.09
23.0;194.05;1434.33
24.0;201.45;1635.97
25.0;206.34;1842.5
26.0;211.6;2054.28
27.0;214.53;2268.99
28.0;218.37;2487.55
29.0;220.44;2708.18
