GRAND_ID: 4366
DAM_NAME: 36.83125
LONG: 36.83125
LAT: 55.994239
Depth(m);Area(km2);Volume(mcm)
0.0;0.0;0.0
1.0;0.36;0.5
2.0;0.86;1.49
3.0;1.37;2.99
4.0;1.69;4.82
5.0;2.31;7.27
6.0;2.67;10.08
7.0;3.09;13.31
8.0;3.43;16.87
9.0;3.94;20.95
10.0;4.68;25.76
11.0;7.83;33.73
12.0;10.9;44.77
13.0;13.98;58.89
14.0;15.92;74.94
15.0;18.91;93.98
16.0;20.55;114.67
17.0;21.94;136.75
18.0;22.64;159.53
19.0;23.25;182.92
20.0;23.57;206.62
21.0;23.92;230.68
22.0;24.1;254.92
23.0;24.29;279.34
24.0;24.4;303.88
25.0;24.53;328.55
