GRAND_ID: 2441
DAM_NAME: -54.556168
LONG: -54.556168
LAT: -25.877605
Depth(m);Area(km2);Volume(mcm)
0.0;0.0;0.0
1.0;0.04;0.2
2.0;0.08;0.44
3.0;0.13;0.73
4.0;0.18;1.07
5.0;0.22;1.45
6.0;0.29;1.9
7.0;0.32;2.38
8.0;0.39;2.93
9.0;0.44;3.53
10.0;0.5;4.19
11.0;0.55;4.9
12.0;0.79;5.86
13.0;0.99;7.01
14.0;1.33;8.5
15.0;1.62;10.27
16.0;1.96;12.39
17.0;2.27;14.82
18.0;2.71;17.69
19.0;2.97;20.83
20.0;3.28;24.27
21.0;3.56;27.99
22.0;3.96;32.1
23.0;4.23;36.5
24.0;4.8;41.45
25.0;5.32;46.93
26.0;5.94;53.04
27.0;6.34;59.54
28.0;7.01;66.7
29.0;7.68;74.55
30.0;8.73;83.43
31.0;9.78;93.37
32.0;12.61;106.14
33.0;14.84;121.13
34.0;17.62;138.91
35.0;20.44;159.51
36.0;24.27;183.95
37.0;27.2;211.31
38.0;31.0;242.46
39.0;33.5;276.13
40.0;36.44;312.73
41.0;38.17;351.05
42.0;39.75;390.96
43.0;40.74;431.86
44.0;41.87;473.89
45.0;42.58;516.63
46.0;43.29;560.08
47.0;43.74;603.98
48.0;44.12;648.26
