GRAND_ID: 4331
DAM_NAME: 24.488542
LONG: 24.488542
LAT: -33.996515
Depth(m);Area(km2);Volume(mcm)
0.0;0.0;0.0
1.0;0.02;0.15
2.0;0.13;0.41
3.0;0.18;0.72
4.0;0.27;1.12
5.0;0.33;1.58
6.0;0.4;2.11
7.0;0.44;2.68
8.0;0.5;3.31
9.0;0.55;3.99
10.0;0.64;4.76
11.0;0.73;5.62
12.0;0.91;6.66
13.0;1.03;7.82
14.0;1.2;9.14
15.0;1.26;10.53
16.0;1.36;12.02
17.0;1.4;13.55
18.0;1.46;15.14
19.0;1.51;16.78
20.0;1.57;18.49
21.0;1.6;20.22
22.0;1.64;21.99
23.0;1.65;23.77
24.0;1.67;25.57
25.0;1.68;27.38
26.0;1.7;29.21
