GRAND_ID: 4597
DAM_NAME: 31.259984
LONG: 31.259984
LAT: -26.07678
Depth(m);Area(km2);Volume(mcm)
0.0;0.0;0.0
1.0;0.04;0.15
2.0;0.09;0.36
3.0;0.13;0.6
4.0;0.18;0.88
5.0;0.2;1.2
6.0;0.25;1.56
7.0;0.29;1.96
8.0;0.34;2.41
9.0;0.37;2.88
10.0;0.4;3.4
11.0;0.43;3.94
12.0;0.48;4.53
13.0;0.51;5.15
14.0;0.56;5.82
15.0;0.59;6.51
16.0;0.65;7.27
17.0;0.68;8.06
18.0;0.75;8.92
19.0;0.79;9.82
20.0;0.87;10.8
21.0;0.92;11.82
22.0;1.0;12.93
23.0;1.07;14.11
24.0;1.2;15.42
25.0;1.25;16.78
26.0;1.37;18.26
27.0;1.46;19.83
28.0;1.56;21.5
29.0;1.63;23.24
30.0;1.77;25.12
31.0;1.83;27.06
32.0;2.0;29.16
33.0;2.11;31.38
34.0;2.27;33.76
35.0;2.38;36.25
36.0;2.56;38.92
37.0;2.64;41.66
38.0;2.75;44.53
39.0;2.83;47.47
40.0;2.97;50.54
41.0;3.06;53.71
42.0;3.21;57.04
43.0;3.29;60.44
44.0;3.5;64.05
45.0;3.61;67.77
46.0;3.74;71.62
47.0;3.85;75.58
48.0;3.99;79.68
49.0;4.11;83.91
50.0;4.35;88.37
51.0;4.47;92.95
52.0;4.78;97.84
53.0;4.98;102.93
54.0;5.21;108.25
55.0;5.35;113.7
56.0;5.64;119.45
57.0;5.72;125.28
58.0;5.99;131.38
59.0;6.13;137.62
60.0;6.35;144.08
61.0;6.53;150.72
62.0;6.78;157.61
63.0;6.99;164.71
64.0;7.29;172.11
65.0;7.46;179.68
66.0;7.7;187.48
67.0;7.88;195.47
68.0;8.14;203.73
69.0;8.34;212.18
70.0;8.75;221.04
71.0;8.96;230.11
72.0;9.27;239.49
73.0;9.46;249.06
74.0;9.81;258.98
75.0;10.04;269.12
76.0;10.37;279.6
