GRAND_ID: 7027
DAM_NAME: 116.177188
LONG: 116.177188
LAT: 31.26278
Depth(m);Area(km2);Volume(mcm)
0.0;0.0;0.0
1.0;0.04;0.15
2.0;0.05;0.32
3.0;0.09;0.52
4.0;0.12;0.76
5.0;0.16;1.03
6.0;0.18;1.33
7.0;0.24;1.68
8.0;0.27;2.06
9.0;0.33;2.5
10.0;0.36;2.98
11.0;0.43;3.53
12.0;0.49;4.12
13.0;0.55;4.79
14.0;0.59;5.49
15.0;0.69;6.29
16.0;0.74;7.15
17.0;0.83;8.09
18.0;0.93;9.13
19.0;1.08;10.32
20.0;1.17;11.61
21.0;1.4;13.12
22.0;1.51;14.75
23.0;1.63;16.49
24.0;1.76;18.36
25.0;1.94;20.42
26.0;2.03;22.56
27.0;2.2;24.87
28.0;2.31;27.3
29.0;2.43;29.84
30.0;2.54;32.5
31.0;2.7;35.31
32.0;2.76;38.18
33.0;2.93;41.23
34.0;3.04;44.38
35.0;3.2;47.69
36.0;3.29;51.1
37.0;3.57;54.78
38.0;3.69;58.59
39.0;3.88;62.58
40.0;4.02;66.7
41.0;4.3;71.12
42.0;4.45;75.68
43.0;4.79;80.58
44.0;4.96;85.65
45.0;5.28;91.05
46.0;5.48;96.64
47.0;5.68;102.43
48.0;5.85;108.39
49.0;6.05;114.55
