GRAND_ID: 4699
DAM_NAME: 69.715625
LONG: 69.715625
LAT: 34.644781
Depth(m);Area(km2);Volume(mcm)
0.0;0.0;0.0
1.0;0.07;0.3
2.0;0.19;0.71
3.0;0.25;1.19
4.0;0.38;1.79
5.0;0.45;2.47
6.0;0.6;3.29
7.0;0.71;4.22
8.0;0.86;5.3
9.0;0.94;6.46
10.0;1.09;7.78
11.0;1.14;9.14
12.0;1.26;10.62
13.0;1.32;12.17
14.0;1.45;13.84
15.0;1.5;15.57
16.0;1.65;17.44
17.0;1.7;19.37
18.0;1.9;21.49
19.0;2.1;23.81
20.0;2.43;26.46
21.0;2.58;29.27
22.0;2.93;32.42
23.0;3.14;35.78
24.0;3.54;39.54
25.0;3.83;43.6
26.0;4.24;48.06
27.0;4.52;52.8
28.0;4.92;57.94
29.0;5.16;63.32
30.0;5.54;69.09
31.0;5.83;75.14
32.0;6.15;81.51
33.0;6.51;88.24
34.0;6.76;95.22
35.0;6.97;102.42
36.0;7.31;109.95
37.0;7.54;117.71
38.0;7.88;125.82
39.0;8.09;134.13
40.0;8.51;142.86
41.0;8.83;151.92
42.0;9.19;161.33
43.0;9.43;170.98
44.0;9.72;180.92
45.0;9.89;191.03
46.0;10.14;201.4
47.0;10.31;211.94
48.0;10.56;222.72
49.0;10.69;233.63
50.0;10.86;244.71
51.0;11.06;255.99
52.0;11.23;267.45
53.0;11.39;279.06
54.0;11.52;290.8
55.0;11.65;302.67
56.0;11.83;314.73
57.0;11.95;326.9
58.0;12.09;339.21
59.0;12.18;351.61
60.0;12.29;364.13
61.0;12.38;376.73
62.0;12.46;389.41
63.0;12.53;402.17
64.0;12.6;414.99
65.0;12.66;427.87
66.0;12.71;440.81
67.0;12.75;453.78
68.0;12.81;466.81
69.0;12.84;479.88
70.0;12.88;492.98
71.0;12.92;506.12
72.0;12.95;519.3
73.0;12.97;532.49
74.0;13.01;545.73
75.0;13.03;558.98
76.0;13.05;572.26
77.0;13.07;585.55
78.0;13.09;598.87
79.0;13.11;612.2
80.0;13.13;625.55
81.0;13.14;638.91
82.0;13.15;652.28
83.0;13.17;665.68
84.0;13.19;679.09
85.0;13.2;692.51
86.0;13.21;705.94
87.0;13.23;719.39
88.0;13.24;732.85
89.0;13.24;746.32
90.0;13.25;759.8
91.0;13.26;773.28
92.0;13.27;786.78
93.0;13.28;800.28
94.0;13.28;813.79
