GRAND_ID: 5319
DAM_NAME: 110.243874
LONG: 110.243874
LAT: 32.177675
Depth(m);Area(km2);Volume(mcm)
0.0;0.0;0.0
1.0;0.06;0.17
2.0;0.07;0.36
3.0;0.12;0.6
4.0;0.13;0.85
5.0;0.16;1.13
6.0;0.18;1.43
7.0;0.21;1.76
8.0;0.23;2.11
9.0;0.25;2.48
10.0;0.27;2.86
11.0;0.28;3.26
12.0;0.3;3.68
13.0;0.32;4.12
14.0;0.34;4.58
15.0;0.38;5.08
16.0;0.41;5.61
17.0;0.48;6.2
18.0;0.5;6.82
19.0;0.57;7.51
20.0;0.59;8.21
21.0;0.66;8.99
22.0;0.69;9.8
23.0;0.79;10.7
24.0;0.83;11.65
25.0;0.91;12.68
26.0;0.95;13.74
27.0;1.04;14.9
28.0;1.07;16.09
29.0;1.17;17.37
30.0;1.21;18.7
31.0;1.3;20.11
32.0;1.38;21.61
33.0;1.5;23.23
34.0;1.59;24.94
35.0;1.72;26.78
36.0;1.78;28.67
37.0;1.9;30.69
38.0;1.97;32.77
39.0;2.12;35.0
40.0;2.2;37.32
41.0;2.42;39.86
42.0;2.52;42.5
43.0;2.76;45.37
44.0;2.85;48.34
