GRAND_ID: 4301
DAM_NAME: 19.255706
LONG: 19.255706
LAT: -33.27646
Depth(m);Area(km2);Volume(mcm)
0.0;0.0;0.0
1.0;0.01;0.12
2.0;0.04;0.27
3.0;0.04;0.43
4.0;0.07;0.61
5.0;0.08;0.81
6.0;0.1;1.02
7.0;0.11;1.25
8.0;0.13;1.5
9.0;0.14;1.75
10.0;0.16;2.02
11.0;0.16;2.3
12.0;0.18;2.59
13.0;0.19;2.89
14.0;0.2;3.2
15.0;0.2;3.52
16.0;0.21;3.85
17.0;0.22;4.18
18.0;0.23;4.52
19.0;0.23;4.86
20.0;0.24;5.21
21.0;0.24;5.56
22.0;0.25;5.93
23.0;0.25;6.29
24.0;0.26;6.66
25.0;0.26;7.03
26.0;0.26;7.41
