GRAND_ID: 2963
DAM_NAME: -6.760788
LONG: -6.760788
LAT: 30.914573
Depth(m);Area(km2);Volume(mcm)
0.0;0.0;0.0
1.0;0.05;0.22
2.0;0.12;0.5
3.0;0.15;0.81
4.0;0.2;1.18
5.0;0.24;1.58
6.0;0.3;2.05
7.0;0.33;2.54
8.0;0.38;3.09
9.0;0.42;3.67
10.0;0.49;4.33
11.0;0.53;5.02
12.0;0.59;5.78
13.0;0.65;6.59
14.0;0.74;7.49
15.0;1.25;8.91
16.0;1.89;10.96
17.0;2.54;13.67
18.0;3.3;17.13
19.0;4.36;21.66
20.0;5.3;27.12
21.0;6.15;33.43
22.0;6.94;40.54
23.0;7.66;48.36
24.0;8.5;57.03
25.0;9.17;66.36
26.0;10.21;76.74
27.0;11.06;87.96
28.0;12.02;100.15
29.0;12.95;113.26
30.0;14.1;127.52
31.0;15.13;142.81
32.0;16.31;159.28
33.0;17.36;176.81
34.0;18.56;195.53
35.0;19.63;215.33
36.0;21.27;236.76
37.0;23.49;260.42
38.0;26.56;287.14
39.0;34.53;321.83
40.0;38.1;360.09
41.0;40.72;400.98
42.0;42.93;444.07
43.0;44.55;488.79
44.0;45.71;534.66
