GRAND_ID: 5946
DAM_NAME: 127.28164
LONG: 127.28164
LAT: 37.52324
Depth(m);Area(km2);Volume(mcm)
0.0;0.0;0.0
1.0;0.51;0.71
2.0;1.01;1.92
3.0;1.87;3.99
4.0;2.71;6.9
5.0;4.04;11.15
6.0;4.73;16.07
7.0;5.91;22.18
8.0;6.9;29.28
9.0;8.39;37.87
10.0;9.49;47.56
11.0;11.08;58.84
12.0;12.27;71.3
13.0;14.18;85.68
14.0;15.63;101.51
15.0;17.38;119.09
16.0;18.67;137.95
17.0;20.29;158.45
18.0;21.55;180.2
19.0;23.56;203.95
20.0;25.06;229.22
21.0;27.52;256.94
22.0;29.91;287.05
23.0;33.13;320.38
24.0;35.13;355.71
25.0;37.63;393.54
26.0;39.78;433.52
27.0;42.34;476.06
28.0;44.1;520.36
29.0;46.15;566.7
30.0;47.73;614.63
31.0;49.62;664.45
32.0;51.34;716.0
33.0;53.05;769.25
34.0;54.05;823.5
35.0;55.32;879.01
36.0;55.98;935.19
37.0;57.14;992.53
