GRAND_ID: 2294
DAM_NAME: -62.997917
LONG: -62.997917
LAT: 7.764054
Depth(m);Area(km2);Volume(mcm)
0.0;0.0;0.0
1.0;6.09;7.69
2.0;15.28;24.58
3.0;22.35;48.53
4.0;31.78;81.92
5.0;39.81;123.34
6.0;51.5;176.44
7.0;63.14;241.19
8.0;76.34;319.12
9.0;88.95;409.67
10.0;103.34;514.62
11.0;114.32;630.54
12.0;129.46;761.61
13.0;140.22;903.43
14.0;153.72;1058.76
15.0;164.35;1224.7
16.0;179.82;1406.12
17.0;191.65;1599.38
18.0;205.64;1806.62
19.0;214.91;2023.13
20.0;228.89;2253.62
21.0;239.12;2494.35
22.0;257.55;2753.5
23.0;270.02;3025.13
24.0;292.37;3319.11
25.0;306.24;3626.95
26.0;328.33;3956.89
27.0;347.75;4306.24
28.0;375.43;4683.28
29.0;396.21;5081.09
30.0;430.55;5513.25
31.0;452.42;5967.27
32.0;486.35;6455.22
33.0;506.67;6963.5
34.0;536.7;7501.8
35.0;559.42;8062.83
36.0;585.67;8650.1
37.0;613.51;9265.21
38.0;658.26;9925.07
39.0;687.65;10614.33
40.0;750.73;11366.66
41.0;797.83;12166.1
42.0;854.32;13022.03
43.0;894.4;13918.03
44.0;956.79;14876.42
45.0;1011.89;15889.91
46.0;1087.38;16978.9
47.0;1136.14;18116.64
48.0;1215.33;19333.57
49.0;1275.27;20610.44
50.0;1365.51;21977.55
51.0;1441.92;23421.08
52.0;1542.05;24964.74
53.0;1617.7;26584.04
54.0;1733.29;28318.93
55.0;1806.98;30127.52
56.0;1954.29;32083.41
57.0;2069.24;34154.26
58.0;2220.72;36376.59
59.0;2321.56;38699.75
60.0;2478.94;41180.3
61.0;2591.41;43773.31
62.0;2744.88;46519.79
63.0;2838.53;49359.92
64.0;2991.61;52353.14
65.0;3093.45;55448.2
66.0;3242.06;58691.86
67.0;3361.89;62055.36
68.0;3491.04;65548.0
69.0;3558.56;69108.16
70.0;3651.29;72761.06
71.0;3708.51;76471.17
72.0;3777.3;80250.07
73.0;3813.26;84064.94
74.0;3860.96;87927.5
75.0;3890.27;91819.38
76.0;3932.08;95753.07
77.0;3958.68;99713.35
78.0;3996.11;103711.07
79.0;4021.96;107734.63
80.0;4054.01;111790.25
81.0;4075.53;115867.38
82.0;4105.1;119974.09
83.0;4123.44;124099.13
84.0;4151.16;128251.89
85.0;4169.45;132422.95
86.0;4195.11;136619.66
87.0;4211.97;140833.24
88.0;4232.56;145067.4
89.0;4246.56;149315.56
90.0;4268.03;153585.19
91.0;4283.51;157870.31
92.0;4300.12;162172.03
93.0;4313.71;166487.35
94.0;4331.7;170820.65
95.0;4342.45;175164.71
96.0;4358.35;179524.66
97.0;4368.67;183894.94
98.0;4383.99;188280.53
99.0;4394.49;192676.63
100.0;4408.88;197087.11
101.0;4418.24;201506.96
102.0;4429.96;205938.53
103.0;4439.11;210379.24
104.0;4452.01;214832.85
105.0;4460.93;219295.38
106.0;4471.22;223768.21
107.0;4479.0;228248.81
108.0;4489.68;232740.1
109.0;4497.06;237238.76
110.0;4506.52;241746.88
111.0;4513.81;246262.3
112.0;4522.06;250785.95
113.0;4529.17;255316.73
114.0;4536.1;259854.43
115.0;4541.2;264397.24
116.0;4547.82;268946.66
117.0;4553.4;273501.66
118.0;4560.21;278063.47
119.0;4564.34;282629.42
120.0;4569.82;287200.84
121.0;4574.12;291776.56
122.0;4578.72;296356.88
123.0;4582.64;300941.12
124.0;4587.84;305530.57
