GRAND_ID: 5699
DAM_NAME: 113.091948
LONG: 113.091948
LAT: 24.715057
Depth(m);Area(km2);Volume(mcm)
0.0;0.0;0.0
1.0;0.0;0.11
2.0;0.02;0.24
3.0;0.02;0.37
4.0;0.03;0.51
5.0;0.03;0.65
6.0;0.04;0.8
7.0;0.05;0.96
8.0;0.05;1.12
9.0;0.05;1.29
10.0;0.07;1.46
11.0;0.07;1.64
12.0;0.07;1.82
13.0;0.08;2.01
14.0;0.09;2.21
15.0;0.09;2.42
16.0;0.1;2.63
17.0;0.1;2.84
18.0;0.11;3.06
19.0;0.11;3.28
20.0;0.12;3.51
21.0;0.13;3.75
22.0;0.13;3.99
23.0;0.14;4.24
24.0;0.15;4.5
25.0;0.15;4.76
26.0;0.16;5.03
27.0;0.17;5.31
28.0;0.18;5.6
29.0;0.19;5.89
30.0;0.2;6.2
31.0;0.2;6.51
32.0;0.21;6.84
33.0;0.21;7.16
34.0;0.22;7.49
35.0;0.23;7.83
36.0;0.24;8.19
37.0;0.25;8.55
38.0;0.28;8.93
39.0;0.29;9.33
40.0;0.32;9.76
41.0;0.34;10.21
42.0;0.36;10.69
43.0;0.38;11.18
44.0;0.41;11.69
45.0;0.42;12.23
46.0;0.45;12.78
47.0;0.46;13.35
48.0;0.49;13.95
49.0;0.51;14.57
50.0;0.53;15.21
51.0;0.55;15.87
52.0;0.58;16.56
53.0;0.59;17.26
54.0;0.62;17.99
55.0;0.63;18.73
56.0;0.66;19.5
57.0;0.67;20.28
58.0;0.7;21.1
59.0;0.71;21.92
60.0;0.74;22.77
61.0;0.75;23.62
62.0;0.78;24.51
63.0;0.8;25.42
64.0;0.84;26.37
65.0;0.85;27.33
