GRAND_ID: 556
DAM_NAME: -119.272015
LONG: -119.272015
LAT: 37.969309
Depth(m);Area(km2);Volume(mcm)
0.0;0.0;0.0
1.0;0.0;0.14
2.0;0.05;0.33
3.0;0.05;0.51
4.0;0.12;0.77
5.0;0.12;1.03
6.0;0.22;1.38
7.0;0.22;1.74
8.0;0.31;2.19
9.0;0.31;2.64
10.0;0.39;3.17
11.0;0.39;3.7
12.0;0.47;4.31
13.0;0.47;4.91
14.0;0.55;5.6
15.0;0.55;6.29
16.0;0.6;7.03
17.0;0.6;7.77
18.0;0.67;8.58
19.0;0.67;9.38
20.0;0.72;10.24
21.0;0.72;11.1
22.0;0.77;12.01
23.0;0.77;12.92
24.0;0.83;13.89
25.0;0.83;14.85
26.0;0.87;15.86
27.0;0.87;16.87
28.0;0.91;17.92
29.0;0.91;18.96
30.0;0.96;20.06
31.0;0.96;21.16
32.0;0.99;22.29
33.0;0.99;23.43
34.0;1.03;24.59
35.0;1.03;25.76
36.0;1.05;26.94
37.0;1.05;28.13
38.0;1.06;29.32
39.0;1.06;30.52
