GRAND_ID: 2383
DAM_NAME: -47.755162
LONG: -47.755162
LAT: -19.990204
Depth(m);Area(km2);Volume(mcm)
0.0;0.0;0.0
1.0;0.01;0.12
2.0;0.04;0.27
3.0;0.06;0.44
4.0;0.18;0.73
5.0;0.24;1.08
6.0;0.34;1.54
7.0;0.37;2.02
8.0;0.52;2.65
9.0;0.57;3.33
10.0;0.82;4.26
11.0;1.06;5.43
12.0;2.18;7.72
13.0;2.67;10.5
14.0;5.37;15.98
15.0;7.49;23.58
16.0;13.32;37.01
17.0;16.12;53.23
18.0;23.7;77.04
19.0;26.82;103.97
20.0;34.25;138.33
21.0;36.63;175.07
22.0;40.62;215.8
23.0;42.45;258.35
24.0;46.35;304.81
25.0;47.6;352.52
26.0;49.93;402.56
27.0;50.9;453.57
28.0;52.78;506.45
29.0;53.33;559.9
30.0;54.76;614.76
31.0;55.26;670.14
32.0;56.45;726.7
33.0;56.83;783.64
34.0;57.51;841.26
35.0;57.66;899.03
36.0;58.04;957.18
37.0;58.2;1015.49
