GRAND_ID: 6883
DAM_NAME: -68.983567
LONG: -68.983567
LAT: -31.518655
Depth(m);Area(km2);Volume(mcm)
0.0;0.0;0.0
1.0;0.0;0.11
2.0;0.02;0.23
3.0;0.02;0.36
4.0;0.03;0.5
5.0;0.04;0.64
6.0;0.06;0.81
7.0;0.07;0.99
8.0;0.08;1.18
9.0;0.09;1.38
10.0;0.1;1.58
11.0;0.11;1.79
12.0;0.12;2.02
13.0;0.13;2.25
14.0;0.15;2.51
15.0;0.17;2.79
16.0;0.23;3.13
17.0;0.24;3.47
18.0;0.3;3.88
19.0;0.31;4.29
20.0;0.36;4.76
21.0;0.39;5.25
22.0;0.43;5.79
23.0;0.44;6.34
24.0;0.49;6.94
25.0;0.51;7.55
26.0;0.58;8.24
27.0;0.62;8.97
28.0;0.72;9.79
29.0;0.76;10.65
30.0;0.86;11.62
31.0;0.88;12.61
32.0;0.98;13.7
33.0;1.0;14.8
34.0;1.11;16.01
35.0;1.14;17.26
36.0;1.23;18.6
37.0;1.28;19.98
38.0;1.36;21.45
39.0;1.4;22.96
40.0;1.49;24.55
41.0;1.54;26.21
42.0;1.64;27.95
43.0;1.69;29.75
44.0;1.83;31.69
45.0;1.84;33.64
46.0;1.96;35.7
47.0;1.97;37.78
48.0;2.08;39.97
49.0;2.12;42.19
50.0;2.23;44.53
51.0;2.24;46.87
52.0;2.34;49.32
53.0;2.38;51.8
54.0;2.45;54.36
55.0;2.5;56.97
56.0;2.59;59.66
57.0;2.62;62.39
58.0;2.7;65.19
59.0;2.74;68.04
60.0;2.82;70.96
61.0;2.86;73.93
62.0;2.98;77.01
63.0;2.99;80.11
64.0;3.11;83.33
65.0;3.12;86.56
66.0;3.24;89.91
67.0;3.29;93.31
68.0;3.38;96.8
69.0;3.41;100.32
70.0;3.51;103.93
71.0;3.54;107.58
72.0;3.63;111.31
73.0;3.67;115.09
74.0;3.76;118.96
75.0;3.78;122.84
76.0;3.89;126.84
77.0;3.9;130.85
78.0;4.01;134.96
79.0;4.02;139.09
80.0;4.15;143.34
81.0;4.19;147.64
82.0;4.31;152.05
83.0;4.4;156.56
84.0;4.65;161.32
85.0;4.76;166.18
86.0;5.1;171.39
87.0;5.26;176.76
88.0;5.7;182.57
89.0;5.84;188.51
90.0;6.14;194.76
91.0;6.27;201.14
92.0;6.66;207.91
93.0;6.69;214.71
94.0;7.2;222.02
95.0;7.23;229.36
96.0;7.68;237.14
97.0;7.72;244.97
98.0;8.17;253.24
99.0;8.33;261.68
100.0;8.74;270.53
101.0;8.88;279.51
102.0;9.31;288.93
103.0;9.45;298.49
104.0;9.89;308.49
105.0;10.02;318.61
106.0;10.62;329.34
107.0;10.62;340.07
108.0;11.16;351.33
109.0;11.21;362.65
110.0;11.64;374.39
111.0;11.68;386.18
112.0;12.07;398.35
113.0;12.1;410.56
114.0;12.51;423.18
115.0;12.61;435.89
116.0;12.85;448.85
117.0;12.94;461.89
118.0;13.19;475.19
119.0;13.27;488.56
120.0;13.52;502.19
121.0;13.52;515.82
122.0;13.77;529.69
123.0;13.79;543.59
124.0;13.96;557.66
125.0;13.97;571.73
126.0;14.13;585.97
127.0;14.14;600.22
128.0;14.3;614.62
129.0;14.3;629.03
130.0;14.45;643.58
131.0;14.48;658.17
132.0;14.57;672.85
133.0;14.6;687.56
