GRAND_ID: 488
DAM_NAME: -110.444834
LONG: -110.444834
LAT: 40.191264
Depth(m);Area(km2);Volume(mcm)
0.0;0.0;0.0
1.0;0.21;0.33
2.0;0.35;0.8
3.0;0.57;1.49
4.0;0.72;2.33
5.0;0.93;3.38
6.0;1.01;4.51
7.0;1.14;5.77
8.0;1.23;7.12
9.0;1.4;8.64
10.0;1.6;10.36
11.0;1.91;12.4
12.0;2.21;14.73
13.0;2.65;17.5
14.0;2.95;20.57
15.0;3.41;24.09
16.0;3.82;28.04
17.0;4.47;32.63
18.0;4.85;37.6
19.0;5.32;43.03
20.0;5.71;48.86
21.0;6.23;55.22
22.0;6.82;62.16
23.0;7.36;69.64
24.0;7.87;77.63
25.0;8.42;86.18
26.0;8.98;95.28
27.0;9.51;104.9
28.0;9.99;115.01
29.0;10.53;125.66
30.0;11.07;136.85
31.0;11.66;148.63
32.0;12.11;160.86
33.0;12.58;173.56
34.0;12.99;186.67
35.0;13.26;200.05
36.0;13.49;213.66
37.0;13.71;227.49
38.0;13.85;241.46
39.0;13.96;255.54
40.0;14.05;269.71
