GRAND_ID: 4860
DAM_NAME: 87.309217
LONG: 87.309217
LAT: 24.107971
Depth(m);Area(km2);Volume(mcm)
0.0;0.0;0.0
1.0;0.41;0.66
2.0;0.74;1.65
3.0;1.14;3.04
4.0;1.47;4.76
5.0;1.82;6.82
6.0;2.19;9.27
7.0;2.58;12.09
8.0;2.91;15.25
9.0;3.37;18.87
10.0;3.81;22.92
11.0;4.43;27.6
12.0;4.9;32.75
13.0;5.55;38.55
14.0;6.11;44.92
15.0;6.88;52.05
16.0;8.05;60.34
17.0;9.72;70.31
18.0;11.11;81.67
19.0;13.15;95.07
20.0;14.91;110.22
21.0;16.56;127.03
22.0;18.01;145.29
23.0;20.24;165.78
24.0;22.29;188.32
25.0;25.27;213.84
26.0;27.67;241.75
27.0;30.88;272.88
28.0;33.84;306.97
29.0;37.59;344.8
30.0;41.55;386.6
31.0;46.47;433.32
32.0;49.95;483.52
33.0;54.64;538.4
34.0;58.19;596.84
35.0;62.59;659.67
36.0;66.47;726.39
37.0;70.08;796.72
38.0;72.46;869.43
