GRAND_ID: 4869
DAM_NAME: 85.554494
LONG: 85.554494
LAT: 23.456822
Depth(m);Area(km2);Volume(mcm)
0.0;0.0;0.0
1.0;0.05;0.26
2.0;0.26;0.73
3.0;0.38;1.32
4.0;0.79;2.32
5.0;0.96;3.49
6.0;1.48;5.17
7.0;1.75;7.14
8.0;2.92;10.26
9.0;3.74;14.21
10.0;6.72;21.14
11.0;8.2;29.55
12.0;12.94;42.69
13.0;14.14;57.04
14.0;17.2;74.45
15.0;17.92;92.58
16.0;19.82;112.61
17.0;20.27;133.09
18.0;21.47;154.77
19.0;21.77;176.75
20.0;22.64;199.6
21.0;22.99;222.8
22.0;23.82;246.83
23.0;24.09;271.13
24.0;24.7;296.04
25.0;24.85;321.1
26.0;25.28;346.59
27.0;25.41;372.2
28.0;25.7;398.11
29.0;25.77;424.08
30.0;25.97;450.26
