GRAND_ID: 6594
DAM_NAME: 148.065625
LONG: 148.065625
LAT: -23.652921
Depth(m);Area(km2);Volume(mcm)
0.0;0.0;0.0
1.0;0.1;0.3
2.0;0.24;0.74
3.0;0.32;1.26
4.0;0.43;1.88
5.0;0.5;2.58
6.0;0.57;3.36
7.0;0.78;4.34
8.0;1.82;6.36
9.0;2.92;9.48
10.0;5.33;15.0
11.0;8.51;23.71
12.0;11.54;35.45
13.0;13.62;49.27
14.0;16.92;66.4
15.0;19.49;86.08
16.0;23.81;110.09
17.0;29.99;140.28
18.0;37.89;178.37
19.0;43.52;222.1
20.0;51.39;273.69
21.0;57.18;331.07
22.0;64.88;396.14
23.0;73.49;469.83
24.0;89.21;559.24
25.0;99.67;659.11
26.0;112.41;771.72
27.0;120.43;892.36
28.0;130.66;1023.22
29.0;138.24;1161.65
30.0;147.55;1309.4
31.0;153.45;1463.05
32.0;159.57;1622.82
33.0;162.53;1785.55
34.0;165.31;1951.06
35.0;166.54;2117.8
