GRAND_ID: 7117
DAM_NAME: 40.348428
LONG: 40.348428
LAT: 39.37182
Depth(m);Area(km2);Volume(mcm)
0.0;0.0;0.0
1.0;0.02;0.12
2.0;0.02;0.24
3.0;0.04;0.39
4.0;0.06;0.55
5.0;0.1;0.75
6.0;0.1;0.96
7.0;0.16;1.22
8.0;0.17;1.49
9.0;0.2;1.8
10.0;0.21;2.11
11.0;0.26;2.47
12.0;0.27;2.84
13.0;0.38;3.32
14.0;0.38;3.8
15.0;0.5;4.41
16.0;0.52;5.03
17.0;0.61;5.74
18.0;0.63;6.47
19.0;0.71;7.29
20.0;0.74;8.13
21.0;0.78;9.01
22.0;0.82;9.94
23.0;0.87;10.91
24.0;0.9;11.91
25.0;0.94;12.95
26.0;0.97;14.03
27.0;1.03;15.16
28.0;1.07;16.33
29.0;1.12;17.56
30.0;1.15;18.81
31.0;1.23;20.14
32.0;1.25;21.49
33.0;1.32;22.91
34.0;1.36;24.37
35.0;1.43;25.91
36.0;1.49;27.5
37.0;1.59;29.19
38.0;1.62;30.91
39.0;1.7;32.71
40.0;1.74;34.55
41.0;1.82;36.48
42.0;1.87;38.45
43.0;2.02;40.57
44.0;2.04;42.71
45.0;2.15;44.97
46.0;2.21;47.28
47.0;2.32;49.71
48.0;2.41;52.22
49.0;2.52;54.83
50.0;2.57;57.51
51.0;2.68;60.29
52.0;2.73;63.12
53.0;2.8;66.02
54.0;2.88;69.0
55.0;2.99;72.09
56.0;3.05;75.24
57.0;3.13;78.48
58.0;3.18;81.76
59.0;3.27;85.13
60.0;3.32;88.55
61.0;3.41;92.06
62.0;3.45;95.61
63.0;3.54;99.25
64.0;3.57;102.92
65.0;3.67;106.69
66.0;3.72;110.51
67.0;3.82;114.43
68.0;3.86;118.4
69.0;3.95;122.45
70.0;3.99;126.54
71.0;4.09;130.73
72.0;4.13;134.97
73.0;4.25;139.32
74.0;4.3;143.72
75.0;4.38;148.2
76.0;4.43;152.73
77.0;4.54;157.38
78.0;4.6;162.08
79.0;4.71;166.89
80.0;4.77;171.76
81.0;4.87;176.74
82.0;4.95;181.79
83.0;5.06;186.96
84.0;5.15;192.21
85.0;5.26;197.58
86.0;5.3;202.99
87.0;5.4;208.49
88.0;5.47;214.06
89.0;5.61;219.77
90.0;5.67;225.54
91.0;5.8;231.44
92.0;5.84;237.38
93.0;5.96;243.45
94.0;6.03;249.58
95.0;6.16;255.84
96.0;6.2;262.15
97.0;6.31;268.56
98.0;6.36;275.03
99.0;6.47;281.6
100.0;6.53;288.23
101.0;6.65;294.98
102.0;6.72;301.8
103.0;6.79;308.7
104.0;6.88;315.67
105.0;6.94;322.72
106.0;7.0;329.82
107.0;7.1;337.02
108.0;7.16;344.29
109.0;7.25;351.64
110.0;7.29;359.04
111.0;7.37;366.52
112.0;7.43;374.05
113.0;7.48;381.63
114.0;7.53;389.26
115.0;7.6;396.96
116.0;7.63;404.69
117.0;7.69;412.48
118.0;7.71;420.3
119.0;7.78;428.18
120.0;7.79;436.07
