GRAND_ID: 2701
DAM_NAME: -8.191898
LONG: -8.191898
LAT: 42.155975
Depth(m);Area(km2);Volume(mcm)
0.0;0.0;0.0
1.0;0.05;0.18
2.0;0.14;0.45
3.0;0.18;0.76
4.0;0.33;1.21
5.0;0.46;1.8
6.0;0.66;2.58
7.0;0.87;3.58
8.0;1.21;4.91
9.0;1.34;6.38
10.0;1.59;8.1
11.0;1.74;9.96
12.0;1.9;11.99
13.0;2.01;14.13
14.0;2.21;16.46
15.0;2.33;18.91
16.0;2.74;21.78
17.0;3.0;24.91
18.0;3.28;28.32
19.0;3.48;31.92
20.0;3.82;35.87
21.0;3.96;39.96
22.0;4.23;44.32
23.0;4.42;48.86
24.0;4.64;53.62
25.0;4.75;58.49
26.0;4.97;63.59
27.0;5.03;68.74
28.0;5.22;74.09
